CompositeId,Refactorings,Project,Previous Commit,Current Commit,Smell Type,Smell Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
15,"['Extract Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Rename Method', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Extract Method', 'Change Parameter Type', 'Rename Variable', 'Change Parameter Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Parameter', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Extract Variable']",okhttp,cd0c8188a2f7aed6ecaeea8edafb2770981c63c1,198c4b540afc1ed655af755411b8fa23650431bf,FeatureEnvy,76,51,0,25,51
15,"['Extract Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Rename Method', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Extract Method', 'Change Parameter Type', 'Rename Variable', 'Change Parameter Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Parameter', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Extract Variable']",okhttp,cd0c8188a2f7aed6ecaeea8edafb2770981c63c1,198c4b540afc1ed655af755411b8fa23650431bf,LongMethod,2,2,0,0,2
15,"['Extract Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Rename Method', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Extract Method', 'Change Parameter Type', 'Rename Variable', 'Change Parameter Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Parameter', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Extract Variable']",okhttp,cd0c8188a2f7aed6ecaeea8edafb2770981c63c1,198c4b540afc1ed655af755411b8fa23650431bf,MessageChain,88,110,22,0,88
15,"['Extract Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Rename Method', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Extract Method', 'Change Parameter Type', 'Rename Variable', 'Change Parameter Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Parameter', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Extract Variable']",okhttp,cd0c8188a2f7aed6ecaeea8edafb2770981c63c1,198c4b540afc1ed655af755411b8fa23650431bf,IntensiveCoupling,1,1,0,0,1
15,"['Extract Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Rename Method', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Extract Method', 'Change Parameter Type', 'Rename Variable', 'Change Parameter Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Parameter', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Change Variable Type', 'Change Variable Type', 'Rename Variable', 'Extract Variable']",okhttp,cd0c8188a2f7aed6ecaeea8edafb2770981c63c1,198c4b540afc1ed655af755411b8fa23650431bf,DispersedCoupling,3,3,0,0,3
27,"['Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Extract Class', 'Rename Parameter', 'Move Method', 'Move Attribute', 'Change Parameter Type', 'Move Method', 'Move Method', 'Rename Variable', 'Rename Method']",okhttp,0a248c50e9a9795cecc7becb40283784ae6be8bc,0f624b52bebbcac83f7cf8566dc25a694b6adbed,FeatureEnvy,5,4,0,1,4
27,"['Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Extract Class', 'Rename Parameter', 'Move Method', 'Move Attribute', 'Change Parameter Type', 'Move Method', 'Move Method', 'Rename Variable', 'Rename Method']",okhttp,0a248c50e9a9795cecc7becb40283784ae6be8bc,0f624b52bebbcac83f7cf8566dc25a694b6adbed,LongMethod,3,3,0,0,3
27,"['Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Extract Class', 'Rename Parameter', 'Move Method', 'Move Attribute', 'Change Parameter Type', 'Move Method', 'Move Method', 'Rename Variable', 'Rename Method']",okhttp,0a248c50e9a9795cecc7becb40283784ae6be8bc,0f624b52bebbcac83f7cf8566dc25a694b6adbed,MessageChain,2,2,0,0,2
27,"['Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Extract Class', 'Rename Parameter', 'Move Method', 'Move Attribute', 'Change Parameter Type', 'Move Method', 'Move Method', 'Rename Variable', 'Rename Method']",okhttp,0a248c50e9a9795cecc7becb40283784ae6be8bc,0f624b52bebbcac83f7cf8566dc25a694b6adbed,IntensiveCoupling,2,1,0,1,1
27,"['Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Extract Class', 'Rename Parameter', 'Move Method', 'Move Attribute', 'Change Parameter Type', 'Move Method', 'Move Method', 'Rename Variable', 'Rename Method']",okhttp,0a248c50e9a9795cecc7becb40283784ae6be8bc,0f624b52bebbcac83f7cf8566dc25a694b6adbed,LongParameterList,4,4,0,0,4
