CompositeId,Refactorings,Project,PreviousCommit,CurrentCommit,SmellType,SmellBefore,SmellAfter
18,"['Change Attribute Type', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Extract Method']",jgit,27b05c7d719754427a97c141b44bec7de3acb8db,b8d9734c0268446cddac281ec762808ac369538e,ComplexClass,2,0
18,"['Change Attribute Type', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Extract Method']",jgit,27b05c7d719754427a97c141b44bec7de3acb8db,b8d9734c0268446cddac281ec762808ac369538e,SpaghettiCode,1,0
18,"['Change Attribute Type', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Extract Method']",jgit,27b05c7d719754427a97c141b44bec7de3acb8db,b8d9734c0268446cddac281ec762808ac369538e,LongMethod,1,1
18,"['Change Attribute Type', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Extract Method']",jgit,27b05c7d719754427a97c141b44bec7de3acb8db,b8d9734c0268446cddac281ec762808ac369538e,FeatureEnvy,0,1
19,"['Change Attribute Type', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Extract Method']",jgit,27b05c7d719754427a97c141b44bec7de3acb8db,b8d9734c0268446cddac281ec762808ac369538e,ComplexClass,2,2
19,"['Change Attribute Type', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Extract Method']",jgit,27b05c7d719754427a97c141b44bec7de3acb8db,b8d9734c0268446cddac281ec762808ac369538e,SpaghettiCode,1,1
