Group,Group Size,CompositeId,Refactorings,Project,Previous Commit,Current Commit,Smell Type,Smell Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Pull Up Method', 'Pull Up Method', 'Rename Class', 'Rename Parameter', 'Rename Parameter']",1,177,"['Change Parameter Type', 'Rename Parameter', 'Change Parameter Type', 'Rename Parameter', 'Pull Up Method', 'Pull Up Method', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Rename Class']",couchbase-java-client,411bbd745009df4ab8cdc1f1dc941efa9cf278bf,36ebb9042d43f7262209b99197a65ce8796568b1,FeatureEnvy,1,0,0,1,0
"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Pull Up Method', 'Pull Up Method', 'Rename Class', 'Rename Parameter', 'Rename Parameter']",1,177,"['Change Parameter Type', 'Rename Parameter', 'Change Parameter Type', 'Rename Parameter', 'Pull Up Method', 'Pull Up Method', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Rename Class']",couchbase-java-client,411bbd745009df4ab8cdc1f1dc941efa9cf278bf,36ebb9042d43f7262209b99197a65ce8796568b1,IntensiveCoupling,1,0,0,1,0
"['Move Method', 'Move Method', 'Rename Class']",1,260,"['Move Method', 'Move Method', 'Rename Class']",couchbase-java-client,bfe263b89efb8dabf2b539279a7e6172c20b70e9,c0eed3eb3e6fd5a12c21cb70f054985922e5278d,LongMethod,2,0,0,2,0
"['Move Method', 'Move Method', 'Rename Class']",1,260,"['Move Method', 'Move Method', 'Rename Class']",couchbase-java-client,bfe263b89efb8dabf2b539279a7e6172c20b70e9,c0eed3eb3e6fd5a12c21cb70f054985922e5278d,MessageChain,2,52,50,0,2
"['Move Method', 'Move Method', 'Rename Class']",1,260,"['Move Method', 'Move Method', 'Rename Class']",couchbase-java-client,bfe263b89efb8dabf2b539279a7e6172c20b70e9,c0eed3eb3e6fd5a12c21cb70f054985922e5278d,LongParameterList,2,36,34,0,2
"['Move Method', 'Move Method', 'Rename Class']",1,260,"['Move Method', 'Move Method', 'Rename Class']",couchbase-java-client,bfe263b89efb8dabf2b539279a7e6172c20b70e9,c0eed3eb3e6fd5a12c21cb70f054985922e5278d,FeatureEnvy,1,4,3,0,1
"['Extract Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Replace Variable With Attribute']",1,313,"['Extract Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Method', 'Rename Parameter', 'Rename Method', 'Rename Parameter', 'Rename Variable', 'Replace Variable With Attribute', 'Rename Variable', 'Rename Parameter', 'Rename Parameter', 'Rename Variable']",couchbase-java-client,dbad2a413f17226503b3ca8d0881a0b7aa18f926,65717a241e288778b916e2ea059151b95364e8e5,LongMethod,1,0,0,1,0
"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Extract Class', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter']",1,19,"['Extract Class', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Change Parameter Type', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",couchbase-java-client,ac134e8a045463046f71ef6b310d486c62fa0fe7,79f79f0896d57b009a2c6967eac47d3560a3ac3c,LongParameterList,3,160,157,0,3
"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Extract Class', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter']",1,19,"['Extract Class', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Change Parameter Type', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",couchbase-java-client,ac134e8a045463046f71ef6b310d486c62fa0fe7,79f79f0896d57b009a2c6967eac47d3560a3ac3c,LongMethod,3,2,0,1,2
"['Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Extract Class', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter']",1,19,"['Extract Class', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Change Parameter Type', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Variable', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Change Parameter Type', 'Extract Method', 'Change Parameter Type', 'Rename Parameter', 'Rename Parameter', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",couchbase-java-client,ac134e8a045463046f71ef6b310d486c62fa0fe7,79f79f0896d57b009a2c6967eac47d3560a3ac3c,MessageChain,2,29,27,0,2
