Group,Group Size,CompositeId
"['Extract Method', 'Extract Method', 'Extract Method', 'Rename Variable']",2,"[33, 768]"
"['Extract Method', 'Move Method', 'Rename Parameter']",1,[557]
"['Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Extract Class', 'Extract Method', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Variable', 'Split Attribute']",1,[435]
"['Change Return Type', 'Change Return Type', 'Extract Method', 'Extract Method']",1,[446]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute']",1,[393]
"['Extract Class', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Push Down Method', 'Rename Method']",1,[409]
"['Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method']",2,"[158, 159]"
"['Extract Method', 'Extract Method', 'Extract Superclass', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method', 'Pull Up Method']",1,[731]
"['Extract Class', 'Move Method', 'Move Method']",1,[615]
"['Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method']",1,[687]
"['Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute']",1,[128]
"['Change Parameter Type', 'Change Parameter Type', 'Extract Class', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter']",1,[369]
"['Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Variable', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Variable', 'Rename Variable']",2,"[510, 510]"
"['Change Attribute Type', 'Change Attribute Type', 'Move Class', 'Move Class', 'Move Method', 'Rename Attribute']",1,[600]
"['Extract Method', 'Rename Method', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute']",1,[396]
"['Move Attribute', 'Move Attribute', 'Move Method']",2,"[698, 724]"
"['Extract Method', 'Extract Method', 'Rename Attribute', 'Rename Method']",1,[463]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",1,[505]
"['Change Parameter Type', 'Change Parameter Type', 'Extract Method', 'Move Attribute', 'Rename Method']",1,[17]
