Group,Group Size,CompositeId
"['Extract Variable', 'Pull Up Method']",1,[195]
"['Change Parameter Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Rename Variable', 'Rename Variable']",1,[820]
"['Extract Class', 'Extract Method', 'Move Method', 'Move Method', 'Move Method']",1,[241]
"['Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Parameter', 'Rename Parameter']",1,[1617]
"['Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Extract Attribute', 'Extract Method', 'Rename Attribute']",1,[1446]
"['Extract Method', 'Extract Method', 'Parameterize Variable']",2,"[800, 800]"
"['Change Parameter Type', 'Change Parameter Type', 'Change Variable Type', 'Extract Class', 'Extract Variable', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method']",2,"[1118, 1118]"
"['Change Parameter Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable']",2,"[793, 793]"
"['Extract Class', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method']",1,[1115]
"['Change Attribute Type', 'Change Return Type', 'Move Attribute', 'Move Method', 'Rename Method']",1,[1322]
"['Extract Method', 'Rename Method', 'Replace Variable With Attribute']",1,[445]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",2,"[810, 810]"
"['Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method']",1,[1379]
"['Extract Method', 'Extract Method']",2,"[1586, 1586]"
"['Change Return Type', 'Extract Method']",1,[840]
