Group,Group Size,CompositeId
"['Extract Method', 'Move Method']",1,[1343]
"['Extract Class', 'Extract Subclass', 'Move Attribute', 'Move Attribute', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method']",2,"[1132, 1132]"
"['Change Attribute Type', 'Move Class', 'Move Method']",1,[1134]
"['Move Attribute', 'Move Attribute', 'Move Class', 'Move Class', 'Move Method', 'Move Method', 'Move Method']",2,"[368, 368]"
"['Change Attribute Type', 'Change Parameter Type', 'Extract Method', 'Move Class']",1,[1135]
"['Change Attribute Type', 'Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Merge Attribute', 'Merge Attribute', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Split Attribute', 'Split Attribute', 'Split Attribute']",1,[842]
"['Change Parameter Type', 'Change Parameter Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[15]
"['Extract Class', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method']",1,[1143]
"['Extract Class', 'Extract Method', 'Extract Method', 'Move Class', 'Move Method', 'Move Method']",2,"[676, 676]"
"['Extract Method', 'Extract Method', 'Inline Variable', 'Inline Variable', 'Move Class']",1,[951]
"['Extract Method', 'Extract Method']",3,"[243, 1228, 1228]"
"['Change Attribute Type', 'Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method']",2,"[617, 617]"
"['Move Class', 'Move Method', 'Move Method']",2,"[630, 630]"
"['Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Attribute', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[730]
"['Change Attribute Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method']",1,[889]
"['Change Attribute Type', 'Extract Method']",1,[997]
"['Extract Method', 'Extract Method', 'Move Method', 'Move Method']",1,[1346]
"['Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Extract Method', 'Inline Method', 'Move Attribute', 'Parameterize Variable', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Replace Variable With Attribute']",1,[708]
"['Change Parameter Type', 'Extract Class', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Method', 'Rename Parameter', 'Rename Variable']",1,[27]
"['Extract Class', 'Extract Variable', 'Move Class', 'Move Method']",1,[632]
"['Change Attribute Type', 'Change Attribute Type', 'Move Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method']",1,[695]
"['Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Class', 'Extract Class', 'Extract Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",2,"[428, 428]"
"['Extract Subclass', 'Move Class', 'Move Method', 'Move Method', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method']",2,"[1131, 1131]"
"['Extract Subclass', 'Extract Variable', 'Move Class', 'Move Method', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method']",2,"[681, 681]"
"['Extract Class', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Class']",1,[424]
"['Change Attribute Type', 'Change Attribute Type', 'Change Parameter Type', 'Extract Class', 'Extract Subclass', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Rename Attribute']",1,[1154]
"['Change Variable Type', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Method', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[317]
"['Extract Method', 'Extract Method', 'Rename Parameter']",1,[825]
"['Extract Method', 'Inline Variable']",1,[1253]
"['Change Attribute Type', 'Change Parameter Type', 'Change Return Type', 'Extract Class', 'Extract Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Move Method']",2,"[36, 36]"
"['Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[921]
