Group,Group Size,CompositeId
"['Change Attribute Type', 'Change Attribute Type', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Inline Method', 'Rename Method', 'Rename Method', 'Rename Variable', 'Rename Variable', 'Rename Variable']",2,"[319, 319]"
"['Change Return Type', 'Change Return Type', 'Extract Method', 'Extract Method']",1,[446]
"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute', 'Replace Variable With Attribute']",1,[393]
"['Change Attribute Type', 'Change Variable Type', 'Extract Method', 'Rename Variable', 'Rename Variable']",2,"[704, 704]"
"['Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method']",2,"[158, 159]"
"['Change Parameter Type', 'Change Parameter Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[15]
"['Extract Class', 'Move Method', 'Move Method', 'Move Method']",1,[888]
"['Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Return Type', 'Extract Class', 'Extract Class', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Attribute', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter']",1,[857]
"['Extract Class', 'Extract Method', 'Extract Method', 'Move Class', 'Move Method', 'Move Method']",2,"[676, 676]"
"['Change Variable Type', 'Extract Method', 'Move Attribute', 'Rename Variable', 'Rename Variable']",2,"[708, 708]"
"['Change Attribute Type', 'Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Move Class', 'Move Method', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method']",2,"[617, 617]"
"['Change Return Type', 'Extract Method']",1,[840]
"['Change Attribute Type', 'Change Attribute Type', 'Move Class', 'Move Class', 'Move Method', 'Rename Attribute']",1,[600]
"['Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Extract Method', 'Inline Method', 'Move Attribute', 'Parameterize Variable', 'Rename Attribute', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Variable', 'Replace Variable With Attribute']",1,[708]
"['Change Attribute Type', 'Change Attribute Type', 'Move Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method']",1,[695]
"['Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter', 'Rename Parameter']",1,[236]
"['Extract Method', 'Extract Variable']",2,"[374, 153]"
"['Extract Method', 'Move Method', 'Rename Parameter']",1,[557]
"['Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Inline Variable', 'Inline Variable', 'Pull Up Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable']",2,"[26, 26]"
"['Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Inline Method', 'Inline Variable', 'Parameterize Variable', 'Rename Variable']",1,[1170]
"['Change Variable Type', 'Extract Method', 'Rename Variable']",1,[474]
"['Change Parameter Type', 'Change Parameter Type', 'Move Method', 'Rename Parameter']",2,"[1094, 1094]"
"['Change Attribute Type', 'Change Attribute Type', 'Change Parameter Type', 'Extract Class', 'Extract Subclass', 'Move Attribute', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Push Down Attribute', 'Push Down Attribute', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Push Down Method', 'Rename Attribute']",1,[1154]
"['Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Rename Parameter', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable', 'Rename Variable']",1,[708]
"['Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Change Attribute Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Return Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Rename Variable']",2,"[855, 855]"
"['Extract Method', 'Extract Variable', 'Rename Variable', 'Rename Variable']",1,[132]
"['Change Variable Type', 'Extract Method', 'Move Method', 'Move Method', 'Pull Up Attribute', 'Pull Up Attribute', 'Rename Variable']",2,"[293, 293]"
"['Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Variable', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Variable', 'Rename Variable']",2,"[510, 510]"
"['Extract Method', 'Extract Method', 'Rename Parameter']",1,[825]
"['Extract Method', 'Inline Variable']",2,"[213, 1253]"
"['Change Attribute Type', 'Change Parameter Type', 'Change Parameter Type', 'Change Return Type', 'Change Variable Type', 'Change Variable Type', 'Change Variable Type', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Variable', 'Inline Variable', 'Move Class', 'Rename Attribute', 'Rename Parameter', 'Rename Parameter', 'Rename Variable']",2,"[254, 254]"
"['Extract Superclass', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Attribute', 'Pull Up Method']",1,[268]
