Class,Number of Refactorings,Refactoring ID,Refactoring Type,Commit
com.facebook.presto.sql.planner.sanity.ValidateDependenciesChecker,3,presto_2480,Move Method,27c35db739b0146b2a5e96314d1165517a10a256
com.facebook.presto.sql.planner.sanity.ValidateDependenciesChecker.Visitor,123,presto_2480,Move Method,27c35db739b0146b2a5e96314d1165517a10a256
com.facebook.presto.metadata.TestFunctionManager,19,presto_1190,Rename Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1197,Change Variable Type,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1201,Change Variable Type,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1198,Rename Variable,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1195,Change Variable Type,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1194,Rename Variable,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1202,Rename Variable,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1188,Rename Class,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1192,Rename Variable,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1199,Change Variable Type,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1189,Change Return Type,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1200,Rename Variable,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1196,Rename Variable,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1193,Change Variable Type,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestFunctionManager,19,presto_1191,Change Variable Type,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.TestStaticFunctionNamespaceManager,9,presto_1188,Rename Class,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1203,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1205,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1217,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1210,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1211,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1209,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1213,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1208,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1206,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1212,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1218,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1204,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1207,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1215,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1214,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager,26,presto_1216,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1203,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1210,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1209,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1213,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1206,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1218,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1215,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1214,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1216,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1205,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1217,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1211,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1208,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1212,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1204,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager,91,presto_1207,Move Method,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.StaticFunctionNamespaceManager.ApplicableFunction,1,presto_1187,Move Class,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.FunctionManager.ApplicableFunction,3,presto_1187,Move Class,5149d92be7295862532a7e4dc2db38641294e94e
com.facebook.presto.metadata.BuiltInFunctionNamespaceManager,24,presto_63,Change Attribute Type,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
com.facebook.presto.metadata.FunctionManager,91,presto_67,Change Parameter Type,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
com.facebook.presto.metadata.FunctionManager,91,presto_73,Change Variable Type,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
com.facebook.presto.metadata.FunctionManager,91,presto_68,Extract Method,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
com.facebook.presto.metadata.FunctionManager,91,presto_69,Rename Variable,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
com.facebook.presto.metadata.FunctionManager,91,presto_71,Change Variable Type,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
com.facebook.presto.metadata.FunctionManager,91,presto_75,Rename Variable,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
com.facebook.presto.metadata.FunctionManager,91,presto_74,Rename Variable,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
com.facebook.presto.metadata.FunctionManager,91,presto_76,Parameterize Variable,dd7f571d2d27c049384c14d72fdf3cbdef346c0d
