Composite Ids,Composite,Number of occurrence
[5],"[Rename Attribute, Pull Up Attribute, Change Return Type, Change Return Type, Rename Parameter, Rename Method, Pull Up Method, Rename Method, Pull Up Method]",1
[18],"[Rename Method, Rename Variable, Change Variable Type, Rename Method, Rename Variable, Extract Method, Change Variable Type, Change Return Type, Rename Variable, Change Attribute Type, Change Attribute Type, Inline Method]",1
[34],"[Change Attribute Type, Rename Variable, Extract Method, Change Variable Type, Rename Variable]",1
[77],"[Move Method, Change Variable Type, Move Method, Move Method, Move Method, Change Parameter Type, Move Attribute, Rename Method, Change Variable Type, Rename Attribute, Move Method, Rename Method, Change Parameter Type, Change Variable Type, Extract Variable, Move Method, Rename Parameter, Extract Variable, Move Method, Move Attribute, Rename Method, Change Parameter Type, Rename Method, Change Attribute Type, Move Method, Change Variable Type, Rename Parameter, Change Variable Type, Move Method, Extract Variable, Move Attribute, Change Variable Type, Rename Method, Move Attribute, Extract Variable, Change Variable Type, Change Variable Type, Extract Variable]",1
[82],"[Pull Up Method, Extract Variable, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method]",1
"[0, 32, 61, 62, 65, 66]","[Extract Method, Extract Method]",6
[75],"[Move Method, Move Method, Move Method, Move Method, Split Parameter, Extract Variable, Extract Class, Move Method, Move Method, Move Method]",1
[93],"[Extract Variable, Extract Variable, Extract Method, Rename Variable, Inline Variable, Change Variable Type]",1
[9],"[Move Method, Move Method, Move Method, Move Method, Move Method, Extract Class, Extract Class, Move Method, Move Method]",1
[76],"[Pull Up Method, Pull Up Attribute, Pull Up Method]",1
[11],"[Rename Method, Rename Method, Move Method]",1
[16],"[Change Attribute Type, Pull Up Attribute, Push Down Method, Pull Up Attribute, Pull Up Method, Extract Superclass, Rename Attribute, Pull Up Method, Pull Up Attribute, Move Method, Pull Up Attribute, Pull Up Attribute]",1
[31],"[Rename Variable, Extract Method, Extract Method]",1
[70],"[Inline Method, Rename Parameter, Extract Method]",1
[72],"[Inline Method, Rename Parameter, Rename Variable, Rename Parameter, Rename Variable, Extract Method, Rename Variable, Inline Method, Extract Variable, Rename Parameter]",1
[84],"[Parameterize Variable, Rename Parameter, Change Parameter Type, Rename Parameter, Rename Parameter, Rename Parameter, Change Parameter Type, Change Parameter Type, Change Variable Type, Change Variable Type, Rename Parameter, Rename Parameter, Rename Parameter, Rename Parameter, Change Return Type, Change Variable Type, Change Variable Type, Change Attribute Type, Change Attribute Type, Rename Variable, Rename Parameter, Extract Method, Change Parameter Type, Change Variable Type, Change Return Type, Change Return Type]",1
[58],"[Pull Up Method, Move Class, Pull Up Attribute, Move Class, Pull Up Method]",1
[42],"[Rename Method, Rename Method, Rename Method, Move Method, Rename Method]",1
[63],"[Extract Method, Extract Method, Rename Method, Rename Variable, Rename Method, Rename Variable, Extract Method, Extract Method, Extract Method, Rename Variable, Extract Method, Extract Method, Extract Method, Rename Method, Extract Method, Rename Variable, Extract Method]",1
[50],"[Change Variable Type, Extract Method]",1
[43],"[Rename Method, Extract Method, Extract Method, Extract Method, Change Variable Type, Rename Method, Extract Method]",1
[1],"[Extract Method, Inline Method, Extract Method, Inline Method, Inline Method, Inline Method, Extract Method, Inline Method, Change Return Type, Inline Method, Extract Method, Extract Method, Extract Method, Extract Method, Change Return Type, Extract Method, Inline Method, Inline Method, Inline Method, Inline Variable, Extract Variable, Extract Method, Parameterize Variable, Inline Method, Change Return Type, Rename Variable, Extract Method, Change Variable Type, Extract Variable, Extract Variable, Change Return Type]",1
[3],"[Change Variable Type, Extract Variable, Inline Variable, Rename Method, Rename Variable, Change Parameter Type, Change Attribute Type, Rename Variable, Change Return Type, Rename Variable, Change Attribute Type, Rename Parameter, Extract Variable, Change Parameter Type, Inline Variable, Rename Parameter, Rename Variable, Change Attribute Type, Extract Variable, Extract Method, Rename Parameter, Extract Method, Move Method]",1
[74],"[Change Attribute Type, Rename Parameter, Rename Parameter, Change Variable Type, Change Variable Type, Extract Variable, Extract Variable, Extract Variable, Extract Variable, Extract Method, Inline Variable, Extract Variable, Move Attribute, Extract Variable, Rename Method, Inline Method, Extract Variable, Move Attribute, Rename Method, Change Variable Type, Rename Variable, Change Variable Type, Rename Variable, Change Variable Type, Inline Method, Inline Method, Rename Method, Inline Variable]",1
"[6, 37, 39, 60]","[Rename Variable, Extract Method]",4
[17],"[Change Variable Type, Extract Method, Rename Variable, Pull Up Attribute, Pull Up Attribute, Move Method, Move Method]",1
[25],"[Move Method, Rename Method, Rename Method, Pull Up Method, Rename Method, Rename Parameter, Pull Up Attribute, Change Return Type, Pull Up Method, Rename Parameter, Pull Up Method, Extract Method, Move Method, Change Return Type, Move Method, Move Method, Rename Parameter, Rename Parameter, Rename Attribute, Move Method, Rename Parameter, Parameterize Variable, Inline Method, Rename Method, Pull Up Method, Pull Up Attribute]",1
[55],"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
[49],"[Move Method, Move Attribute, Change Parameter Type, Move Method, Extract Method, Rename Parameter, Move Attribute, Change Parameter Type, Move Attribute, Extract Method, Rename Attribute, Extract Method, Rename Parameter, Extract Class, Extract Class, Change Return Type, Change Parameter Type, Move Method, Move Method, Move Attribute, Change Parameter Type, Move Attribute, Rename Attribute, Rename Parameter, Change Parameter Type, Extract Method, Change Return Type, Change Parameter Type, Change Parameter Type, Rename Attribute, Change Attribute Type, Move Attribute, Rename Attribute, Rename Attribute, Rename Parameter]",1
"[59, 85]","[Extract Variable, Extract Method, Extract Method]",2
[68],"[Change Parameter Type, Change Variable Type, Change Parameter Type, Rename Variable, Move Method, Change Variable Type, Rename Parameter, Move Attribute, Rename Parameter, Extract Method, Rename Parameter, Change Variable Type, Rename Variable, Change Variable Type, Rename Parameter, Change Parameter Type, Change Parameter Type]",1
[19],"[Rename Parameter, Extract Method, Rename Parameter, Move Method, Rename Variable]",1
[26],"[Extract Method, Change Variable Type, Move Attribute, Rename Variable, Rename Variable, Rename Variable, Inline Method, Rename Variable, Change Variable Type]",1
[79],"[Extract Method, Change Variable Type, Inline Method, Inline Method]",1
[14],"[Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Extract Superclass, Pull Up Method]",1
"[36, 40, 41, 45]","[Extract Method, Extract Method, Extract Method]",4
[71],"[Extract Superclass, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute]",1
[78],"[Extract Method, Change Variable Type, Change Variable Type, Rename Method, Change Variable Type, Change Variable Type]",1
[91],"[Rename Variable, Extract Method, Move Class, Move Class, Change Variable Type, Extract Variable, Rename Variable, Extract Variable, Change Variable Type, Rename Variable, Change Variable Type, Rename Variable, Rename Variable]",1
[87],"[Pull Up Method, Pull Up Method, Change Attribute Type]",1
[90],"[Change Variable Type, Extract Method, Rename Method, Rename Method, Rename Variable]",1
[13],"[Extract Class, Move Method, Move Method, Move Attribute, Move Method, Move Method, Change Parameter Type, Rename Parameter, Move Method, Change Parameter Type]",1
[24],"[Inline Method, Rename Variable, Extract Method, Extract Method, Extract Method, Extract Method]",1
[67],"[Change Variable Type, Rename Variable, Extract Variable, Extract Method, Extract Method, Rename Variable]",1
[21],"[Change Return Type, Rename Method, Change Variable Type, Extract Variable, Change Variable Type, Extract Method, Change Variable Type, Inline Variable]",1
[22],"[Move Attribute, Move Method]",1
[86],"[Rename Parameter, Extract Variable, Rename Variable, Rename Variable, Extract Method, Rename Parameter, Extract Variable, Rename Variable, Replace Variable With Attribute, Rename Method, Rename Attribute, Extract Method]",1
[4],"[Extract Method, Move Method, Extract Method, Extract Method, Extract Variable, Rename Method, Extract Variable, Move Method, Move Method, Move Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method]",1
[2],"[Rename Method, Change Return Type, Change Variable Type, Rename Variable, Rename Variable, Change Return Type, Change Variable Type, Inline Variable, Rename Method, Change Return Type, Change Variable Type, Inline Variable, Rename Parameter, Pull Up Method, Change Variable Type]",1
[81],"[Move Method, Move Method, Move Method, Move Method, Move Method, Rename Variable, Change Attribute Type, Move Method, Change Attribute Type, Move Method, Move Method, Change Attribute Type, Change Attribute Type, Change Attribute Type, Change Attribute Type, Move Method, Change Attribute Type, Move Method, Move Method, Move Method, Rename Method, Move Method, Extract Class, Change Attribute Type, Move Method, Merge Attribute, Move Method, Change Attribute Type, Change Attribute Type, Move Method, Move Method, Change Attribute Type, Move Method, Move Method]",1
[27],"[Extract Method, Inline Method, Inline Method, Extract Method, Rename Variable, Rename Variable, Rename Variable, Extract Method, Extract Method, Rename Variable, Extract Method, Inline Method, Extract Method]",1
[44],"[Inline Variable, Extract Method, Extract Method, Extract Method]",1
[33],"[Extract Method, Extract Method, Inline Variable, Extract Method, Parameterize Variable, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
[28],"[Inline Method, Extract Method]",1
[10],"[Move Method, Rename Parameter, Move Method, Rename Variable, Rename Variable]",1
[38],"[Rename Variable, Change Return Type, Extract Method, Rename Variable, Rename Method, Change Variable Type, Rename Parameter]",1
[80],"[Rename Method, Rename Method, Rename Method, Rename Method, Extract Variable, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Variable, Extract Method, Extract Method, Rename Variable, Change Variable Type, Extract Method]",1
[89],"[Move Method, Move Method, Move Method]",1
[35],"[Move Attribute, Rename Variable, Change Variable Type, Rename Variable, Extract Method]",1
[48],"[Change Attribute Type, Change Return Type, Change Return Type, Extract Method, Change Attribute Type, Change Return Type, Change Attribute Type, Rename Variable, Change Attribute Type, Change Attribute Type, Change Return Type, Change Return Type, Extract Method, Change Variable Type]",1
[15],"[Pull Up Attribute, Move Attribute, Extract Class, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Move Attribute, Pull Up Method]",1
[23],"[Move Method, Move Method, Extract Class]",1
"[53, 56]","[Extract Method, Extract Variable]",2
"[46, 92]","[Rename Attribute, Extract Method]",2
[51],"[Change Variable Type, Move Method, Extract Method, Move Method, Extract Method, Rename Variable, Extract Method, Parameterize Variable, Extract Method, Parameterize Variable]",1
[64],"[Rename Variable, Extract Method, Rename Method, Rename Variable, Parameterize Variable, Extract Method, Extract Method]",1
[12],"[Change Return Type, Rename Method, Rename Method, Change Parameter Type, Rename Parameter, Change Return Type, Rename Method, Rename Method, Extract Method, Change Variable Type, Change Parameter Type, Rename Parameter, Change Attribute Type, Rename Parameter, Change Variable Type, Rename Parameter, Change Return Type, Rename Parameter]",1
[47],"[Change Variable Type, Rename Parameter, Rename Variable, Rename Variable, Rename Variable, Change Variable Type, Parameterize Variable, Extract Method, Change Variable Type]",1
[8],"[Move Attribute, Move Method, Rename Parameter]",1
[88],"[Extract Variable, Extract Method, Extract Method, Extract Variable]",1
