Composite,Number of occurrence
"[Pull Up Method, Rename Variable, Pull Up Attribute]",1
"[Extract Method, Extract Class, Move Method, Move Method, Move Method]",3
"[Extract Method, Replace Variable With Attribute]",4
"[Change Return Type, Rename Parameter, Move Method]",1
"[Extract Method, Extract Method]",67
"[Extract Method, Change Attribute Type]",13
"[Rename Parameter, Rename Parameter, Parameterize Variable, Extract Method]",1
"[Extract Method, Extract Class]",4
"[Rename Method, Replace Variable With Attribute, Extract Method]",2
"[Rename Parameter, Extract Method]",10
"[Move Method, Move Method, Rename Method, Move Method, Move Method, Extract Class, Move Method, Extract Method]",1
"[Rename Parameter, Rename Attribute, Extract Method, Move Attribute]",1
"[Change Attribute Type, Change Parameter Type, Extract Method, Change Return Type]",2
"[Move Attribute, Change Return Type, Move Method]",1
"[Rename Parameter, Move Attribute, Move Method, Change Parameter Type, Move Attribute]",1
"[Change Variable Type, Extract Variable, Parameterize Variable, Change Variable Type, Change Variable Type, Extract Method, Change Parameter Type]",1
"[Push Down Attribute, Extract Method]",2
"[Extract Method, Extract Variable, Extract Variable]",9
"[Move Method, Extract Class, Move Method]",6
"[Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Extract Superclass]",3
"[Change Return Type, Extract Method, Move Attribute, Move Attribute, Move Attribute]",1
"[Extract Method, Inline Method]",8
"[Extract Method, Rename Variable]",27
"[Extract Class, Extract Variable, Move Method, Push Down Method, Extract Variable, Push Down Method]",1
"[Parameterize Variable, Rename Variable, Extract Method]",3
"[Change Attribute Type, Change Variable Type, Change Return Type, Rename Variable, Extract Method]",3
"[Rename Attribute, Rename Attribute, Extract Method]",4
"[Extract Method, Change Return Type]",5
"[Move Method, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Move Method, Move Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Move Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Move Method, Move Method, Pull Up Method, Pull Up Method, Inline Method, Move Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method, Pull Up Method, Pull Up Method, Move Method, Pull Up Method]",1
"[Rename Method, Pull Up Method]",2
"[Change Variable Type, Extract Method, Change Attribute Type, Change Return Type, Change Variable Type, Change Attribute Type]",2
"[Inline Variable, Move Method]",2
"[Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute]",3
"[Extract Method, Rename Variable, Extract Variable, Rename Variable]",4
"[Change Parameter Type, Move Method, Change Parameter Type, Rename Parameter]",1
"[Move Method, Move Method, Move Method, Move Method]",3
"[Extract Method, Extract Variable]",20
"[Merge Variable, Extract Method]",1
"[Extract Method, Extract Method, Extract Method]",38
"[Extract Method, Parameterize Variable]",6
"[Extract Variable, Pull Up Method]",2
"[Extract Method, Extract Method, Extract Variable, Rename Parameter]",2
"[Extract Method, Change Variable Type]",19
"[Move Attribute, Change Attribute Type, Extract Class, Move Attribute, Move Attribute, Rename Attribute, Move Attribute, Move Method]",1
"[Pull Up Method, Pull Up Method]",5
"[Move Method, Rename Attribute, Rename Attribute]",2
