Composite,Number of occurrence
"[Change Variable Type, Change Attribute Type, Move Method, Change Attribute Type, Change Attribute Type, Rename Variable, Change Variable Type, Change Variable Type, Extract Variable, Move Attribute, Inline Variable]",1
"[Pull Up Method, Rename Variable, Pull Up Attribute]",1
"[Parameterize Variable, Extract Method, Extract Method, Parameterize Variable]",1
"[Move Method, Move Attribute, Move Attribute, Move Attribute, Extract Method, Move Method, Move Method, Extract Class, Move Method]",1
"[Extract Method, Extract Method]",14
"[Extract Attribute, Change Return Type, Extract Attribute, Extract Attribute, Extract Attribute, Rename Variable, Extract Method, Extract Variable, Rename Variable, Extract Method, Extract Attribute, Extract Attribute, Rename Variable, Extract Attribute, Extract Attribute, Extract Attribute]",1
"[Change Attribute Type, Change Parameter Type, Extract Method, Change Return Type]",1
"[Rename Parameter, Move Attribute, Move Method, Change Parameter Type, Move Attribute]",1
"[Rename Attribute, Rename Attribute, Rename Attribute, Move Method, Rename Parameter, Rename Parameter]",1
"[Move Method, Extract Class, Move Method]",1
"[Change Return Type, Extract Method, Move Attribute, Move Attribute, Move Attribute]",1
"[Extract Method, Inline Method]",1
"[Extract Method, Extract Method, Change Attribute Type]",1
"[Inline Variable, Extract Method, Extract Method, Extract Method, Extract Variable, Pull Up Attribute, Extract Method, Extract Method, Extract Method]",1
"[Move Method, Move Method, Change Attribute Type, Change Parameter Type, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Change Variable Type, Change Attribute Type, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Change Return Type, Change Variable Type, Move Method, Move Method, Move Method, Change Parameter Type, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method, Move Method]",1
"[Extract Superclass, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method]",1
"[Change Attribute Type, Rename Variable, Change Variable Type, Extract Method, Extract Method, Change Variable Type, Rename Variable, Rename Variable]",1
"[Extract Method, Pull Up Method, Rename Method]",1
"[Extract Method, Change Variable Type, Extract Method, Extract Method, Extract Method, Extract Method, Change Variable Type, Change Variable Type]",1
"[Merge Variable, Extract Method]",1
"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
"[Extract Method, Extract Method, Extract Method]",7
"[Extract Method, Parameterize Variable]",1
"[Rename Parameter, Pull Up Attribute, Rename Parameter, Pull Up Method, Rename Parameter, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Rename Parameter]",1
"[Extract Method, Rename Parameter, Rename Parameter, Extract Method, Extract Method, Rename Parameter, Change Variable Type, Extract Method, Rename Variable, Extract Method, Change Variable Type, Rename Variable, Rename Parameter, Rename Variable, Extract Method, Rename Variable, Rename Parameter]",1
"[Change Variable Type, Extract Method, Change Parameter Type, Change Parameter Type, Extract Method, Rename Method, Change Parameter Type]",1
"[Extract Method, Rename Variable, Change Parameter Type, Extract Method, Change Variable Type, Change Variable Type, Rename Variable]",1
