Composite,Number of occurrence
"[Inline Variable, Inline Variable, Inline Variable, Extract Method, Rename Variable]",1
"[Rename Attribute, Pull Up Attribute, Change Return Type, Change Return Type, Rename Parameter, Rename Method, Pull Up Method, Rename Method, Pull Up Method]",1
"[Change Variable Type, Change Attribute Type, Move Method, Change Attribute Type, Change Attribute Type, Rename Variable, Change Variable Type, Change Variable Type, Extract Variable, Move Attribute, Inline Variable]",1
"[Parameterize Variable, Extract Method, Extract Method, Parameterize Variable]",1
"[Change Attribute Type, Rename Variable, Extract Method, Change Variable Type, Rename Variable]",1
"[Move Method, Move Attribute, Move Attribute, Move Attribute, Extract Method, Move Method, Move Method, Extract Class, Move Method]",1
"[Extract Method, Extract Method]",30
"[Extract Class, Extract Method, Rename Parameter, Move Attribute, Extract Method, Move Method, Change Attribute Type, Change Parameter Type, Change Parameter Type, Move Method, Rename Method]",1
"[Move Method, Move Method, Move Method, Move Method, Split Parameter, Extract Variable, Extract Class, Move Method, Move Method, Move Method]",1
"[Extract Variable, Extract Variable, Extract Method, Rename Variable, Inline Variable, Change Variable Type]",1
"[Pull Up Method, Pull Up Attribute, Pull Up Method]",1
"[Rename Method, Rename Method, Move Method]",1
"[Change Return Type, Extract Method, Change Return Type, Extract Method]",1
"[Rename Method, Change Variable Type, Rename Parameter, Extract Method, Extract Method, Extract Attribute, Change Return Type]",1
"[Change Attribute Type, Change Parameter Type, Extract Method, Change Return Type]",1
"[Rename Variable, Extract Method, Extract Method]",1
"[Inline Method, Rename Parameter, Extract Method]",1
"[Pull Up Method, Move Class, Pull Up Attribute, Move Class, Pull Up Method]",1
"[Extract Variable, Extract Method, Extract Variable]",3
"[Rename Attribute, Rename Attribute, Rename Attribute, Move Method, Rename Parameter, Rename Parameter]",1
"[Rename Method, Rename Method, Rename Method, Move Method, Rename Method]",1
"[Extract Method, Change Variable Type, Move Method, Move Method, Rename Variable, Change Return Type, Change Variable Type, Rename Variable, Extract Class, Move Method, Move Method, Extract Class, Rename Variable, Change Variable Type, Rename Variable, Move Method, Change Variable Type, Move Method]",1
"[Extract Method, Extract Method, Change Attribute Type]",1
"[Extract Superclass, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method]",1
"[Rename Method, Extract Method, Extract Method, Rename Method, Rename Method, Extract Method]",2
"[Change Parameter Type, Change Variable Type, Change Parameter Type, Rename Variable, Move Method, Change Variable Type, Rename Parameter, Move Attribute, Rename Parameter, Extract Method, Rename Parameter, Change Variable Type, Rename Variable, Change Variable Type, Rename Parameter, Change Parameter Type, Change Parameter Type]",1
"[Change Attribute Type, Rename Variable, Change Variable Type, Extract Method, Extract Method, Change Variable Type, Rename Variable, Rename Variable]",1
"[Change Variable Type, Change Parameter Type, Extract Method]",1
"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
"[Rename Parameter, Extract Method, Extract Method, Rename Parameter, Rename Parameter, Rename Parameter, Rename Attribute, Rename Parameter, Rename Parameter, Extract Method, Rename Parameter, Rename Parameter, Rename Parameter]",1
"[Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Extract Superclass, Pull Up Method]",1
"[Extract Method, Extract Method, Extract Method]",12
"[Rename Parameter, Rename Attribute, Change Parameter Type, Extract Method, Extract Method, Extract Method, Change Parameter Type, Rename Parameter, Extract Method, Change Attribute Type, Change Attribute Type, Rename Parameter, Rename Method, Change Attribute Type, Change Parameter Type, Rename Parameter, Rename Method, Extract Method, Extract Method, Extract Method, Change Parameter Type]",1
"[Extract Variable, Rename Variable, Extract Method, Rename Method, Extract Method, Rename Method, Rename Method, Extract Method, Extract Method, Extract Method, Extract Variable, Extract Method, Extract Method, Change Variable Type, Change Variable Type, Rename Method, Inline Method, Rename Attribute, Extract Variable]",1
"[Rename Parameter, Pull Up Attribute, Rename Parameter, Pull Up Method, Rename Parameter, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Rename Parameter]",1
"[Extract Method, Rename Parameter, Rename Parameter, Extract Method, Extract Method, Rename Parameter, Change Variable Type, Extract Method, Rename Variable, Extract Method, Change Variable Type, Rename Variable, Rename Parameter, Rename Variable, Extract Method, Rename Variable, Rename Parameter]",1
"[Extract Method, Rename Attribute, Extract Variable]",1
"[Change Variable Type, Extract Method, Change Parameter Type, Change Parameter Type, Extract Method, Rename Method, Change Parameter Type]",1
"[Extract Method, Rename Variable, Change Parameter Type, Extract Method, Change Variable Type, Change Variable Type, Rename Variable]",1
"[Change Attribute Type, Change Attribute Type, Change Parameter Type, Rename Attribute, Rename Attribute, Rename Method, Rename Parameter, Change Return Type, Rename Method, Change Return Type, Move Method, Rename Attribute, Rename Attribute, Rename Method, Rename Parameter, Change Parameter Type, Change Parameter Type, Change Attribute Type, Rename Method, Change Return Type, Rename Parameter, Change Attribute Type]",1
"[Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Extract Variable, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Extract Method, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Extract Variable, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Extract Superclass, Pull Up Attribute, Pull Up Attribute, Extract Variable, Pull Up Method, Pull Up Attribute, Pull Up Attribute]",1
"[Rename Attribute, Rename Attribute, Extract Method, Rename Attribute, Rename Attribute]",1
"[Extract Method, Extract Method, Rename Method, Rename Method, Inline Variable, Extract Method]",1
"[Push Down Method, Push Down Method, Change Variable Type, Push Down Method, Change Variable Type, Inline Method, Change Return Type, Push Down Method, Push Down Method, Push Down Method, Push Down Attribute, Inline Method, Push Down Method, Push Down Attribute, Change Attribute Type, Rename Attribute, Change Return Type, Push Down Attribute, Change Variable Type, Inline Method, Inline Method, Push Down Method, Extract Method, Extract Subclass, Push Down Method, Push Down Method, Change Return Type, Rename Variable, Push Down Method, Extract Method, Push Down Method, Push Down Method, Push Down Method, Rename Method, Rename Method, Extract Method, Rename Attribute, Rename Method, Push Down Attribute, Push Down Method, Push Down Method]",1
"[Move Attribute, Move Attribute, Move Method, Move Method]",2
"[Extract Method, Extract Class]",1
"[Change Parameter Type, Extract Variable, Change Parameter Type, Rename Method, Extract Method]",1
"[Rename Method, Replace Variable With Attribute, Extract Method]",1
"[Rename Parameter, Extract Method]",5
"[Extract Method, Extract Method, Rename Variable, Rename Variable, Change Return Type]",1
"[Change Variable Type, Rename Variable, Extract Variable, Extract Method, Extract Method, Rename Variable]",1
"[Change Variable Type, Rename Variable, Change Variable Type, Extract Method, Extract Method, Rename Variable, Rename Variable, Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",1
"[Move Method, Move Method, Move Method, Rename Method, Extract Class]",1
"[Move Method, Move Method, Move Method, Move Method, Move Method, Rename Variable, Change Attribute Type, Move Method, Change Attribute Type, Move Method, Move Method, Change Attribute Type, Change Attribute Type, Change Attribute Type, Change Attribute Type, Move Method, Change Attribute Type, Move Method, Move Method, Move Method, Rename Method, Move Method, Extract Class, Change Attribute Type, Move Method, Merge Attribute, Move Method, Change Attribute Type, Change Attribute Type, Move Method, Move Method, Change Attribute Type, Move Method, Move Method]",1
"[Pull Up Method, Pull Up Method, Pull Up Method, Pull Up Method, Extract Superclass]",1
"[Parameterize Variable, Rename Variable, Extract Method]",1
"[Extract Method, Move Method, Change Attribute Type, Rename Variable]",1
"[Pull Up Method, Pull Up Method, Pull Up Method]",1
"[Extract Method, Inline Variable]",1
"[Move Method, Rename Parameter, Move Method, Rename Variable, Rename Variable]",1
"[Change Variable Type, Rename Variable, Extract Method, Rename Variable, Rename Variable, Change Variable Type, Change Variable Type, Change Variable Type, Rename Variable, Extract Method, Change Variable Type]",1
"[Move Attribute, Rename Variable, Change Variable Type, Rename Variable, Extract Method]",1
"[Change Attribute Type, Change Return Type, Change Return Type, Extract Method, Change Attribute Type, Change Return Type, Change Attribute Type, Rename Variable, Change Attribute Type, Change Attribute Type, Change Return Type, Change Return Type, Extract Method, Change Variable Type]",1
"[Inline Variable, Move Method]",1
"[Rename Parameter, Inline Method, Extract Method, Inline Method, Extract Method]",1
"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Rename Method, Inline Variable, Rename Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
"[Extract Method, Extract Method, Rename Variable, Extract Method, Change Return Type]",1
