Composite,Number of occurrence
"[Change Variable Type, Move Attribute, Move Method, Move Method, Move Attribute]",2
"[Change Parameter Type, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
"[Rename Parameter, Extract Method]",43
"[Change Variable Type, Change Variable Type, Extract Class, Change Variable Type, Change Variable Type]",1
"[Change Parameter Type, Extract Method, Extract Method]",6
"[Extract Variable, Extract Method, Extract Method, Extract Variable, Extract Variable, Extract Variable]",1
"[Change Variable Type, Rename Parameter, Extract Method, Extract Method]",1
"[Pull Up Attribute, Pull Up Method, Extract Superclass]",4
"[Change Variable Type, Rename Method, Change Variable Type]",3
"[Change Variable Type, Change Attribute Type, Rename Parameter]",5
"[Change Parameter Type, Rename Method, Change Variable Type]",6
"[Pull Up Method, Extract Method, Change Parameter Type, Rename Parameter]",4
"[Change Variable Type, Rename Method]",8
"[Extract And Move Method, Rename Parameter, Extract And Move Method]",4
"[Change Variable Type, Move Method, Move Method, Move Attribute]",2
"[Extract Method, Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",3
"[Pull Up Method, Pull Up Method, Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",1
"[Change Variable Type, Move Attribute, Move Attribute, Move Method, Move Method, Move Attribute]",1
"[Change Variable Type, Move Method, Move Attribute]",5
"[Extract Class, Change Variable Type]",30
"[Extract Method, Extract Variable, Extract Variable, Extract Variable]",4
"[Pull Up Method, Extract Method, Change Parameter Type]",4
"[Rename Parameter, Extract Method, Extract Method, Extract Method]",1
"[Change Variable Type, Extract And Move Method, Change Attribute Type, Rename Parameter, Extract And Move Method]",2
"[Rename Variable, Extract Method, Rename Variable]",2
"[Change Variable Type, Rename Parameter, Extract Method, Extract Attribute]",2
"[Extract Method, Rename Variable]",18
"[Change Variable Type, Rename Parameter, Change Parameter Type, Rename Method, Change Variable Type]",1
"[Extract Method, Change Attribute Type]",1
"[Change Variable Type, Rename Parameter, Change Variable Type]",2
"[Extract Method, Extract Method, Rename Parameter, Rename Parameter]",2
"[Pull Up Method, Extract Superclass]",12
"[Change Variable Type, Extract Attribute]",8
"[Extract Variable, Extract Method, Extract Variable, Extract Variable]",4
"[Move Attribute, Move Attribute, Move Method, Move Attribute]",10
"[Change Variable Type, Move Attribute, Move Attribute]",2
"[Pull Up Method, Pull Up Attribute, Extract Superclass]",8
"[Pull Up Method, Rename Variable, Change Parameter Type, Change Parameter Type]",2
"[Pull Up Method, Rename Variable, Pull Up Attribute, Change Parameter Type, Change Parameter Type]",2
"[Pull Up Method, Extract Method]",12
"[Change Variable Type, Move Attribute, Move Method, Move Attribute]",2
"[Change Parameter Type, Pull Up Method, Pull Up Method]",7
"[Extract Method, Extract Method, Extract Variable, Extract Variable, Extract Method]",1
"[Move Attribute, Move Attribute, Move Attribute]",19
"[Extract Method, Extract Method, Extract Method, Extract Method]",16
"[Pull Up Method, Pull Up Method, Rename Variable, Pull Up Attribute, Change Parameter Type, Change Parameter Type]",1
"[Pull Up Method, Rename Variable, Change Parameter Type]",8
"[Rename Method, Rename Method]",138
"[Extract Variable, Extract Variable, Rename Variable, Rename Variable, Rename Variable]",1
"[Change Return Type, Change Return Type, Change Return Type]",17
"[Extract Method, Extract Method, Extract Method, Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",1
"[Rename Variable, Inline Variable, Extract Variable, Extract Variable, Rename Variable, Rename Variable, Rename Variable]",1
"[Extract Method, Extract Method, Rename Variable, Extract Method]",2
"[Rename Variable, Rename Variable, Rename Variable]",6
"[Change Parameter Type, Change Variable Type]",15
"[Move Attribute, Move Method, Move Method, Move Attribute]",4
"[Rename Parameter, Rename Parameter, Rename Method]",29
"[Extract Variable, Pull Up Method, Pull Up Method, Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",1
"[Pull Up Attribute, Pull Up Method, Pull Up Attribute]",8
"[Rename Parameter, Extract Method, Extract Method, Extract Method, Rename Parameter]",1
"[Change Variable Type, Move Method]",15
"[Rename Parameter, Rename Parameter]",118
"[Change Variable Type, Extract And Move Method]",27
"[Change Variable Type, Change Attribute Type, Rename Parameter, Extract And Move Method]",4
"[Pull Up Method, Change Parameter Type, Change Parameter Type]",6
"[Extract Method, Extract Method, Extract Method, Extract Method, Extract Method, Extract Method]",1
"[Extract Variable, Extract Variable, Rename Variable]",6
"[Move Attribute, Move Attribute, Move Attribute, Move Method, Move Attribute]",3
"[Extract Method, Extract Method, Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",1
"[Extract Method, Extract Method, Extract Method, Rename Parameter]",1
"[Extract Variable, Extract Method]",51
"[Move Attribute, Move Method]",82
"[Rename Method, Change Variable Type]",16
"[Change Variable Type, Rename Parameter, Change Parameter Type, Change Variable Type]",1
"[Pull Up Method, Change Parameter Type, Rename Parameter]",10
"[Extract Variable, Extract Variable, Extract Method, Extract Method, Extract Variable, Extract Variable, Extract Variable]",1
"[Parameterize Variable, Parameterize Variable]",1
"[Rename Parameter, Extract And Move Method]",16
"[Rename Variable, Move Method]",2
"[Rename Method, Change Variable Type, Extract Method, Extract Method, Extract Attribute]",1
"[Rename Method, Rename Method, Rename Method, Rename Method, Rename Method, Rename Method]",1
"[Extract Variable, Extract Method, Extract Method, Extract Variable, Extract Variable, Extract Method]",1
"[Extract Method, Parameterize Variable]",1
"[Extract Method, Extract Method, Extract Variable]",10
"[Rename Parameter, Rename Method, Change Variable Type]",4
"[Pull Up Method, Pull Up Attribute, Pull Up Attribute]",4
"[Parameterize Variable, Extract Method, Parameterize Variable]",1
"[Rename Parameter, Extract Method, Extract Method]",10
"[Pull Up Method, Pull Up Attribute, Pull Up Attribute, Extract Superclass]",2
"[Extract Method, Rename Parameter, Change Parameter Type, Change Variable Type]",1
"[Change Variable Type, Extract Method, Extract Attribute]",6
"[Extract Method, Change Parameter Type, Rename Method, Change Variable Type]",2
"[Move Method, Change Variable Type, Move Attribute, Move Attribute, Move Method, Move Method, Move Attribute]",1
"[Change Return Type, Change Return Type, Change Return Type, Change Return Type, Change Return Type, Move Attribute, Change Return Type]",1
"[Change Parameter Type, Pull Up Method, Pull Up Method, Rename Parameter, Pull Up Method]",1
"[Pull Up Method, Pull Up Method, Pull Up Method, Rename Parameter, Pull Up Method]",1
"[Extract Method, Extract Method, Rename Variable, Extract Method, Rename Variable, Extract Method, Extract Method]",1
"[Change Variable Type, Move Attribute, Move Method]",4
"[Extract Method, Extract Method, Rename Parameter]",14
"[Extract Method, Rename Parameter, Change Parameter Type, Rename Method]",1
"[Change Variable Type, Extract Class, Change Variable Type, Change Variable Type]",4
"[Pull Up Attribute, Pull Up Attribute, Extract Superclass]",17
"[Pull Up Method, Extract Method, Change Parameter Type, Rename Parameter, Rename Parameter]",2
"[Rename Parameter, Pull Up Method]",16
"[Rename Variable, Change Variable Type, Extract Class, Change Variable Type]",2
"[Rename Variable, Extract Method, Rename Variable, Extract Method, Extract Method]",1
"[Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute]",2
"[Pull Up Attribute, Pull Up Attribute, Pull Up Method, Pull Up Attribute, Pull Up Attribute, Extract Superclass]",1
"[Rename Variable, Extract Class, Change Variable Type]",4
"[Rename Variable, Move And Rename Attribute, Change Variable Type, Move Method]",1
"[Rename Variable, Extract Class, Change Variable Type, Change Variable Type]",2
"[Rename Variable, Change Parameter Type, Change Parameter Type]",4
"[Inline Variable, Rename Variable, Rename Variable]",7
"[Rename Variable, Change Variable Type, Extract Class]",2
"[Extract Method, Extract Method]",368
"[Rename Parameter, Change Parameter Type]",12
"[Change Variable Type, Change Variable Type, Change Variable Type, Extract And Move Method, Change Attribute Type, Rename Parameter, Extract And Move Method]",1
"[Rename Parameter, Change Parameter Type, Rename Method, Change Variable Type]",2
"[Extract Variable, Extract Method, Extract Method]",2
"[Change Variable Type, Change Variable Type]",70
"[Rename Method, Rename Parameter, Extract Method, Extract Method]",1
"[Change Variable Type, Rename Parameter, Rename Method]",2
"[Rename Parameter, Change Parameter Type, Change Variable Type]",4
"[Change Variable Type, Extract Method, Extract Method, Extract Attribute]",2
"[Extract Variable, Extract Method, Extract Variable]",10
"[Extract Method, Rename Variable, Extract Method, Rename Variable, Extract Method, Extract Method]",1
"[Extract Method, Change Parameter Type, Rename Method]",2
"[Extract Method, Rename Parameter, Rename Parameter]",14
"[Change Variable Type, Change Variable Type, Extract Class]",2
"[Pull Up Attribute, Pull Up Attribute, Pull Up Attribute, Extract Superclass]",4
"[Pull Up Method, Change Parameter Type]",44
"[Rename Variable, Pull Up Attribute]",12
"[Extract Method, Rename Parameter, Rename Method]",2
"[Rename Variable, Move And Rename Attribute]",2
