CompositeId,Refactorings,Project,Previous Commit,Current Commit,Smell Type,Smell_Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
25,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Inline Variable', 'Extract Method', 'Parameterize Variable', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Extract Variable', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Variable Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,3e78bd8867c317376c11050fe10233ac9305b91c,FeatureEnvy,3,3,0,0,0
25,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Inline Variable', 'Extract Method', 'Parameterize Variable', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Extract Variable', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Variable Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,3e78bd8867c317376c11050fe10233ac9305b91c,LongMethod,3,1,0,2,0
25,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Inline Variable', 'Extract Method', 'Parameterize Variable', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Extract Variable', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Variable Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,3e78bd8867c317376c11050fe10233ac9305b91c,LongParameterList,1,1,0,0,0
25,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Inline Variable', 'Extract Method', 'Parameterize Variable', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Extract Variable', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Variable Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,3e78bd8867c317376c11050fe10233ac9305b91c,MessageChain,1,0,0,0,0
25,"['Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Inline Variable', 'Extract Method', 'Parameterize Variable', 'Extract Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Inline Method', 'Extract Variable', 'Inline Method', 'Rename Variable', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Return Type', 'Extract Variable', 'Change Return Type', 'Change Variable Type']",dubbo,02cca0976f68db240867c7016d1a58b35cfd4a4b,3e78bd8867c317376c11050fe10233ac9305b91c,BrainMethod,1,0,0,0,0
26,"['Rename Parameter', 'Pull Up Method', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Change Variable Type', 'Inline Variable', 'Change Variable Type', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Change Variable Type', 'Inline Variable']",dubbo,5d690d93998dff12acd2c1be0fb8de63cc39b85a,3e78bd8867c317376c11050fe10233ac9305b91c,FeatureEnvy,5,2,0,3,0
26,"['Rename Parameter', 'Pull Up Method', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Change Variable Type', 'Inline Variable', 'Change Variable Type', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Change Variable Type', 'Inline Variable']",dubbo,5d690d93998dff12acd2c1be0fb8de63cc39b85a,3e78bd8867c317376c11050fe10233ac9305b91c,LongMethod,2,1,0,1,0
26,"['Rename Parameter', 'Pull Up Method', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Change Variable Type', 'Inline Variable', 'Change Variable Type', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Change Variable Type', 'Inline Variable']",dubbo,5d690d93998dff12acd2c1be0fb8de63cc39b85a,3e78bd8867c317376c11050fe10233ac9305b91c,MessageChain,2,3,1,0,0
26,"['Rename Parameter', 'Pull Up Method', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Change Variable Type', 'Inline Variable', 'Change Variable Type', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Change Variable Type', 'Inline Variable']",dubbo,5d690d93998dff12acd2c1be0fb8de63cc39b85a,3e78bd8867c317376c11050fe10233ac9305b91c,LongParameterList,1,0,0,0,0
26,"['Rename Parameter', 'Pull Up Method', 'Rename Variable', 'Change Variable Type', 'Rename Variable', 'Change Return Type', 'Change Variable Type', 'Inline Variable', 'Change Variable Type', 'Change Return Type', 'Rename Method', 'Rename Method', 'Change Return Type', 'Change Variable Type', 'Inline Variable']",dubbo,5d690d93998dff12acd2c1be0fb8de63cc39b85a,3e78bd8867c317376c11050fe10233ac9305b91c,IntensiveCoupling,2,1,0,1,0
