CompositeId,Refactorings,Project,Current Commit,Previous Commit,Smell Type,Smell_Before,Smell After,Smells Added,Smells Removed,Smells Not Affected
17,"['Move Attribute', 'Change Parameter Type', 'Rename Method', 'Change Parameter Type', 'Extract Method']",fresco,b9e5d5e5553aa76b653e0fff5bdd7b869d0beddd,27eb7f3c220d41f5928840e3ca791a9db48c037e,LongParameterList,2,0,0,0,0
17,"['Move Attribute', 'Change Parameter Type', 'Rename Method', 'Change Parameter Type', 'Extract Method']",fresco,b9e5d5e5553aa76b653e0fff5bdd7b869d0beddd,27eb7f3c220d41f5928840e3ca791a9db48c037e,FeatureEnvy,2,0,0,0,0
17,"['Move Attribute', 'Change Parameter Type', 'Rename Method', 'Change Parameter Type', 'Extract Method']",fresco,b9e5d5e5553aa76b653e0fff5bdd7b869d0beddd,27eb7f3c220d41f5928840e3ca791a9db48c037e,MessageChain,1,0,0,0,0
17,"['Move Attribute', 'Change Parameter Type', 'Rename Method', 'Change Parameter Type', 'Extract Method']",fresco,b9e5d5e5553aa76b653e0fff5bdd7b869d0beddd,27eb7f3c220d41f5928840e3ca791a9db48c037e,IntensiveCoupling,1,0,0,0,0
33,"['Rename Variable', 'Extract Method', 'Extract Method', 'Extract Method']",fresco,34a2d703171b8af1025b0025a2dec61b1d278661,017c007b48ed4eabb4c7e63be02bfc22e0a149ee,LongParameterList,3,0,0,0,0
33,"['Rename Variable', 'Extract Method', 'Extract Method', 'Extract Method']",fresco,34a2d703171b8af1025b0025a2dec61b1d278661,017c007b48ed4eabb4c7e63be02bfc22e0a149ee,FeatureEnvy,1,0,0,0,0
128,"['Rename Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Change Attribute Type', 'Change Attribute Type', 'Rename Attribute', 'Rename Attribute', 'Change Attribute Type']",fresco,aaa034af5352949a4ed151f46d9566ef262c51a9,4a23039eaa8b6b6d78a8d634080b515f2eb448e6,LongParameterList,2,4,2,0,0
128,"['Rename Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Change Attribute Type', 'Change Attribute Type', 'Rename Attribute', 'Rename Attribute', 'Change Attribute Type']",fresco,aaa034af5352949a4ed151f46d9566ef262c51a9,4a23039eaa8b6b6d78a8d634080b515f2eb448e6,FeatureEnvy,2,4,2,0,0
128,"['Rename Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Change Attribute Type', 'Change Attribute Type', 'Rename Attribute', 'Rename Attribute', 'Change Attribute Type']",fresco,aaa034af5352949a4ed151f46d9566ef262c51a9,4a23039eaa8b6b6d78a8d634080b515f2eb448e6,DispersedCoupling,2,2,0,0,0
128,"['Rename Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Change Attribute Type', 'Change Attribute Type', 'Rename Attribute', 'Rename Attribute', 'Change Attribute Type']",fresco,aaa034af5352949a4ed151f46d9566ef262c51a9,4a23039eaa8b6b6d78a8d634080b515f2eb448e6,LongMethod,1,0,0,0,0
128,"['Rename Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Rename Attribute', 'Change Attribute Type', 'Change Attribute Type', 'Rename Attribute', 'Rename Attribute', 'Change Attribute Type']",fresco,aaa034af5352949a4ed151f46d9566ef262c51a9,4a23039eaa8b6b6d78a8d634080b515f2eb448e6,MessageChain,0,2,1,0,0
158,"['Rename Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Extract Method']",fresco,bb0464381ba50be0173b9eb96d1f59bbdc4b74dd,64bbab4fb6406b7b0cec149ebc94e3484c4563e1,MessageChain,3,8,5,0,0
158,"['Rename Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Extract Method']",fresco,bb0464381ba50be0173b9eb96d1f59bbdc4b74dd,64bbab4fb6406b7b0cec149ebc94e3484c4563e1,LongMethod,2,0,0,0,0
158,"['Rename Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Extract Method']",fresco,bb0464381ba50be0173b9eb96d1f59bbdc4b74dd,64bbab4fb6406b7b0cec149ebc94e3484c4563e1,FeatureEnvy,1,1,0,0,0
158,"['Rename Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Extract Method']",fresco,bb0464381ba50be0173b9eb96d1f59bbdc4b74dd,64bbab4fb6406b7b0cec149ebc94e3484c4563e1,LongParameterList,0,1,1,0,0
159,"['Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Extract Method', 'Extract Method']",fresco,bb0464381ba50be0173b9eb96d1f59bbdc4b74dd,64bbab4fb6406b7b0cec149ebc94e3484c4563e1,MessageChain,3,8,5,0,0
159,"['Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Extract Method', 'Extract Method']",fresco,bb0464381ba50be0173b9eb96d1f59bbdc4b74dd,64bbab4fb6406b7b0cec149ebc94e3484c4563e1,LongMethod,2,0,0,0,0
159,"['Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Extract Method', 'Extract Method']",fresco,bb0464381ba50be0173b9eb96d1f59bbdc4b74dd,64bbab4fb6406b7b0cec149ebc94e3484c4563e1,FeatureEnvy,1,1,0,0,0
159,"['Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Extract Method', 'Extract Method']",fresco,bb0464381ba50be0173b9eb96d1f59bbdc4b74dd,64bbab4fb6406b7b0cec149ebc94e3484c4563e1,LongParameterList,0,1,1,0,0
369,"['Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Attribute', 'Rename Parameter', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Rename Parameter']",fresco,b001575b6bad4ea62ab9d6653651beb51f47785e,6cfd55e107f51f8072fc7c5091a633f8592c21ee,LongParameterList,1,2,1,0,0
369,"['Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Attribute', 'Rename Parameter', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Rename Parameter']",fresco,b001575b6bad4ea62ab9d6653651beb51f47785e,6cfd55e107f51f8072fc7c5091a633f8592c21ee,FeatureEnvy,6,5,0,1,0
369,"['Move Method', 'Move Method', 'Move Attribute', 'Move Attribute', 'Move Method', 'Move Attribute', 'Move Method', 'Move Method', 'Move Method', 'Extract Class', 'Move Attribute', 'Rename Parameter', 'Rename Parameter', 'Change Parameter Type', 'Change Parameter Type', 'Rename Parameter']",fresco,b001575b6bad4ea62ab9d6653651beb51f47785e,6cfd55e107f51f8072fc7c5091a633f8592c21ee,DispersedCoupling,0,1,1,0,0
393,"['Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Replace Variable With Attribute', 'Extract Method', 'Replace Variable With Attribute', 'Rename Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Extract Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Parameter', 'Rename Method', 'Rename Method', 'Rename Method', 'Rename Method']",fresco,27ebf577e7dd716ad00ea6ab0b31d94ce1379f9c,5c0f9d678c3524fc223e6cb0f3f3ae49c851a698,LongMethod,1,1,0,0,0
