Class,Number of Occurrence,Number of Refactorings,Refactoring ID,Refactoring Type,Commit
com.facebook.presto.tests.TestMinWorkerRequirement,2,1,presto_8943,Rename Method,c00367d23c913427f34db14bba83b8ff1383dc2c
com.facebook.presto.sql.gen.TestVarArgsToArrayAdapterGenerator.TestVarArgsSum,5,3,presto_281,Change Return Type,04ead21d85198984cb3fdedb078603fa0f62196c
com.facebook.presto.sql.gen.TestVarArgsToArrayAdapterGenerator.TestVarArgsSum,5,3,presto_8255,Rename Parameter,8810c2904afe109a28dfb47c5931d5b51807880e
com.facebook.presto.sql.gen.TestVarArgsToArrayAdapterGenerator.TestVarArgsSum,5,3,presto_8256,Change Parameter Type,8810c2904afe109a28dfb47c5931d5b51807880e
com.facebook.presto.operator.scalar.RowToJsonCast,5,3,presto_8090,Change Parameter Type,8810c2904afe109a28dfb47c5931d5b51807880e
com.facebook.presto.operator.scalar.RowToJsonCast,5,3,presto_239,Change Return Type,04ead21d85198984cb3fdedb078603fa0f62196c
com.facebook.presto.operator.scalar.RowToJsonCast,5,3,presto_8089,Rename Parameter,8810c2904afe109a28dfb47c5931d5b51807880e
com.facebook.presto.sql.planner.EffectivePredicateExtractor.Visitor,16,8,presto_4392,Change Variable Type,62a13fe40513d9b28512e584d44b4128ee2d8f49
com.facebook.presto.sql.planner.EffectivePredicateExtractor.Visitor,16,8,presto_2994,Rename Method,96592bc9002a0792dbad0aadb936e913fe6d292d
com.facebook.presto.sql.planner.EffectivePredicateExtractor.Visitor,16,8,presto_6562,Change Attribute Type,7b7520b9add4979afcbaa8a5a0630f0a94f58539
com.facebook.presto.sql.planner.EffectivePredicateExtractor.Visitor,16,8,presto_2991,Change Parameter Type,96592bc9002a0792dbad0aadb936e913fe6d292d
com.facebook.presto.sql.planner.EffectivePredicateExtractor.Visitor,16,8,presto_2995,Change Variable Type,96592bc9002a0792dbad0aadb936e913fe6d292d
com.facebook.presto.sql.planner.EffectivePredicateExtractor.Visitor,16,8,presto_2992,Rename Parameter,96592bc9002a0792dbad0aadb936e913fe6d292d
com.facebook.presto.sql.planner.EffectivePredicateExtractor.Visitor,16,8,presto_2993,Change Parameter Type,96592bc9002a0792dbad0aadb936e913fe6d292d
com.facebook.presto.sql.planner.EffectivePredicateExtractor.Visitor,16,8,presto_6563,Change Parameter Type,7b7520b9add4979afcbaa8a5a0630f0a94f58539
