Validator,projectName,Batch ID,Refactorings,Code Elements,Start Commit,Smells Before,Smell Before IDs,Smells Before Starting Line,Smell Before Ending Line,Smell Before Reason,End Commit,Smells After,Smell After IDs,Smells After Starting Line,Smell After Ending Line,Smell After Reason
Researcher 2,prestodb_presto,21468,"[""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method""]","[""com.facebook.presto.block.CursorAssertions"", ""com.facebook.presto.block.CursorAssertions.assertCurrentValue"", ""com.facebook.presto.block.CursorAssertions.assertNextPosition"", ""com.facebook.presto.block.CursorAssertions.assertNextValue""]","[""ce2597b43a9045ffd668ee5b46a1b6dc61dd3c02"", ""ce2597b43a9045ffd668ee5b46a1b6dc61dd3c02"", ""ce2597b43a9045ffd668ee5b46a1b6dc61dd3c02"", ""ce2597b43a9045ffd668ee5b46a1b6dc61dd3c02""]","[""IntensiveCoupling"", ""LongMethod"", ""FeatureEnvy"", ""ComplexClass""]","[""9b416092d6e5bafe342020ce90437121"", ""37fe48847364ea501b27cd769cf8d51a"", ""0916c91a123582dcc620ae619cf44777"", ""99da0d5b25545ee1e391134b5f467b13""]","[370, 370, 370, 52]","[430, 430, 430, 640]","[""CINT = 9.0, CDISP = 0.4444444444444444, CC > 1.0"", ""MLOC > 6.384466823010099"", ""CALLS_TO_org.apache.juli.logging.Log > 6"", ""CC = 11.0""]","[""5769228215a1c0e4a430de3f5eabc8ff0eb0e173"", ""5769228215a1c0e4a430de3f5eabc8ff0eb0e173"", ""5769228215a1c0e4a430de3f5eabc8ff0eb0e173""]","[""ComplexClass"", ""LongMethod"", ""FeatureEnvy""]","[""56573ad23203d7d2fa1003b3728dace3"", ""7813146d3838ec2c1ee39cc1de8b0fde"", ""d73ff9dc27ba41f76708ed17dc73671a""]","[85, 85, 123]","[143, 143, 131]","[""{\""IsAbstract\"": 0.0, \""ClassLinesOfCode\"": 81.0, \""OverrideRatio\"": null, \""PublicFieldCount\"": 0.0, \""TightClassCohesion\"": 0.0}"", ""{\""MaxCallChain\"": 2.0, \""ParameterCount\"": 3.0, \""CyclomaticComplexity\"": 11.0, \""MethodLinesOfCode\"": 41.0, \""LocalityRatio\"": 0.0}"", ""{\""LocalityRatio\"": 0.0, \""MethodLinesOfCode\"": 4.0, \""ParameterCount\"": 3.0, \""CyclomaticComplexity\"": 1.0, \""MaxCallChain\"": 3.0}""]"
Researcher 2,prestodb_presto,21490,"[""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method""]","[""com.facebook.presto.execution.TaskOutput"", ""com.facebook.presto.execution.TaskOutput.updateState"", ""com.facebook.presto.execution.TaskOutput.transitionToDoneState"", ""com.facebook.presto.execution.TaskOutput.queryFailed"", ""com.facebook.presto.execution.TaskOutput.cancel""]","[""ce2597b43a9045ffd668ee5b46a1b6dc61dd3c02"", ""ce2597b43a9045ffd668ee5b46a1b6dc61dd3c02"", ""ce2597b43a9045ffd668ee5b46a1b6dc61dd3c02"", ""ce2597b43a9045ffd668ee5b46a1b6dc61dd3c02""]","[""IntensiveCoupling"", ""LongMethod"", ""FeatureEnvy"", ""ComplexClass""]","[""9b416092d6e5bafe342020ce90437121"", ""37fe48847364ea501b27cd769cf8d51a"", ""0916c91a123582dcc620ae619cf44777"", ""99da0d5b25545ee1e391134b5f467b13""]","[370, 370, 370, 52]","[430, 430, 430, 640]","[""CINT = 9.0, CDISP = 0.4444444444444444, CC > 1.0"", ""MLOC > 6.384466823010099"", ""CALLS_TO_org.apache.juli.logging.Log > 6"", ""CC = 11.0""]","[""cc0ab72aca7a4e141bf299b6d43feb3866b1cacf""]","[""FeatureEnvy""]","[""f88209fa019de1c4831e73edf07f39d8""]",[146],[169],"[""{\""ParameterCount\"": 1.0, \""MaxCallChain\"": 2.0, \""LocalityRatio\"": 0.0, \""CyclomaticComplexity\"": 5.0, \""MethodLinesOfCode\"": 12.0}""]"
Researcher 2,prestodb_presto,21510,"[""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method""]","[""com.facebook.presto.sql.Researcher 1lyzer.AggregationResearcher 1lyzer.Visitor"", ""com.facebook.presto.sql.Researcher 1lyzer.AggregationResearcher 1lyzer.Visitor.visitCast"", ""com.facebook.presto.sql.Researcher 1lyzer.AggregationResearcher 1lyzer.Visitor.process"", ""com.facebook.presto.sql.Researcher 1lyzer.AggregationResearcher 1lyzer.Visitor.visitSimpleCaseExpression"", ""com.facebook.presto.sql.Researcher 1lyzer.AggregationResearcher 1lyzer.Visitor.visitNullIfExpression"", ""com.facebook.presto.sql.Researcher 1lyzer.AggregationResearcher 1lyzer.Visitor.visitSearchedCaseExpression"", ""com.facebook.presto.sql.Researcher 1lyzer.AggregationResearcher 1lyzer.Visitor.visitBetweenPredicate"", ""com.facebook.presto.sql.Researcher 1lyzer.AggregationResearcher 1lyzer.Visitor.visitExtract""]","[""88aa08565cb1b36fd646a807edd8d3f22d288159"", ""88aa08565cb1b36fd646a807edd8d3f22d288159"", ""88aa08565cb1b36fd646a807edd8d3f22d288159"", ""88aa08565cb1b36fd646a807edd8d3f22d288159"", ""88aa08565cb1b36fd646a807edd8d3f22d288159"", ""88aa08565cb1b36fd646a807edd8d3f22d288159"", ""88aa08565cb1b36fd646a807edd8d3f22d288159"", ""88aa08565cb1b36fd646a807edd8d3f22d288159"", ""88aa08565cb1b36fd646a807edd8d3f22d288159""]","[""IntensiveCoupling"", ""LongMethod"", ""FeatureEnvy"", ""SpaghettiCode"", ""ComplexClass"", ""GodClass"", ""DispersedCoupling"", ""MessageChain"", ""LongMethod""]","[""8301b005bbdb7852b5b41884ec5d0af4"", ""fae8b4d3758417d358f669cab5af5734"", ""77d3c6b3c4dba9d71879c9ef9e768e31"", ""e793f4451c1a592370615b3c5a198607"", ""af28c6e13bdd320b850068a72aab2231"", ""7628ef6afa559ce2cc0d3adb2b511c2c"", ""db26ea279a2edcedb8a1597d6e2b7f3d"", ""e8e398bee1705c5c759b9f0fe40386ec"", ""1f030d467c7959ea865581f36b9788e5""]","[296, 296, 296, 111, 111, 111, 563, 563, 563]","[387, 387, 387, 2610, 2610, 2610, 662, 662, 662]","[""CINT = 19.0, CDISP = 0.42105263157894735, CC > 1.0"", ""MLOC > 6.392367569056964"", ""CALLS_TO_org.apache.juli.logging.Log > 10"", ""LONG_METHODS_CONNECTED = 12"", ""CC = 14.0"", ""CLOC > 500, TCC < 0.48007932503269046"", ""CINT > 8.0, CDISP > 0.5, CC > 1.0"", ""MAX_CALL_CHAIN = 4.0"", ""MLOC > 6.392367569056964""]","[""a0158b2e568375b4823de59aeaea1ebfa502208e"", ""a0158b2e568375b4823de59aeaea1ebfa502208e""]","[""FeatureEnvy"", ""FeatureEnvy""]","[""27da239690500cb3133b8c86ec4931f4"", ""8703e5d93a76cc0bdf02494b93aba6c7""]","[376, 352]","[394, 374]","[""{\""LocalityRatio\"": 0.1111111111111111, \""MaxCallChain\"": 2.0, \""ParameterCount\"": 2.0, \""CyclomaticComplexity\"": 5.0, \""MethodLinesOfCode\"": 10.0}"", ""{\""LocalityRatio\"": 0.09090909090909091, \""MaxCallChain\"": 2.0, \""ParameterCount\"": 2.0, \""CyclomaticComplexity\"": 6.0, \""MethodLinesOfCode\"": 12.0}""]"
Researcher 2,prestodb_presto,21511,"[""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method""]","[""com.facebook.presto.metadata.MetadataMResearcher 1ger"", ""com.facebook.presto.metadata.MetadataMResearcher 1ger.getColumnHandles"", ""com.facebook.presto.metadata.MetadataMResearcher 1ger.lookupConnectorFor"", ""com.facebook.presto.metadata.MetadataMResearcher 1ger.getTableMetadata""]","[""6791dd2eaa72580a6a5ad580def8da26ca7e2d8a"", ""6791dd2eaa72580a6a5ad580def8da26ca7e2d8a"", ""6791dd2eaa72580a6a5ad580def8da26ca7e2d8a"", ""6791dd2eaa72580a6a5ad580def8da26ca7e2d8a"", ""6791dd2eaa72580a6a5ad580def8da26ca7e2d8a"", ""6791dd2eaa72580a6a5ad580def8da26ca7e2d8a"", ""6791dd2eaa72580a6a5ad580def8da26ca7e2d8a"", ""6791dd2eaa72580a6a5ad580def8da26ca7e2d8a""]","[""IntensiveCoupling"", ""LongMethod"", ""FeatureEnvy"", ""BrainClass"", ""SpaghettiCode"", ""ComplexClass"", ""ClassDataShouldBePrivate"", ""GodClass""]","[""ab7957ef3183e132a4a3a2f4809a02c4"", ""53f4fd3c264a75094d813c6f79c5b62d"", ""49f864b08bd7248d0bfabcfc5226db21"", ""e72b059394d80d481ecb7b467a2421fa"", ""6262ce80aa9081f6fa082b972e7310d7"", ""196cb4a294ca464d557135e06a49eab4"", ""a1f05753fa578a8d7787c84655b4fa0d"", ""29a5efe23f2d2eb4f62c633efd95ac9c""]","[1631, 1631, 1631, 73, 73, 73, 73, 73]","[1779, 1779, 1779, 3168, 3168, 3168, 3168, 3168]","[""CINT = 11.0, CDISP = 0.45454545454545453, CC > 1.0"", ""MLOC > 6.513289260658364"", ""CALLS_TO_org.apache.juli.logging.Log > 9"", ""BRAIN_METHODS = 1, WMC = 458.0, TCC = 0.10048309178743961"", ""LONG_METHODS_CONNECTED = 13"", ""CC = 13.0"", ""PUBLIC_FIELD_COUNT = 1.0"", ""CLOC > 500, TCC < 0.48007932503269046""]","[""0c9ba26e66961382832a4f806247031271473b4c""]","[""FeatureEnvy""]","[""02e0f7bf8b62b18e2d530d56f857446b""]",[215],[238],"[""{\""LocalityRatio\"": 0.0, \""MaxCallChain\"": 1.0, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 7.0, \""MethodLinesOfCode\"": 12.0}""]"
Researcher 3,prestodb_presto,21531,"[""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Inline Method"", ""Inline Method"", ""Extract Method"", ""Extract Method""]","[""com.facebook.presto.hive.GenericHiveRecordCursor"", ""com.facebook.presto.hive.GenericHiveRecordCursor.parseRecord"", ""com.facebook.presto.hive.GenericHiveRecordCursor.parseLongColumn"", ""com.facebook.presto.hive.GenericHiveRecordCursor.parseStringColumn"", ""com.facebook.presto.hive.GenericHiveRecordCursor.GenericHiveRecordCursor"", ""com.facebook.presto.hive.GenericHiveRecordCursor.parseColumn"", ""com.facebook.presto.hive.GenericHiveRecordCursor.parseBooleanColumn""]","[""99c03e7258281ef8dbbc2e492faa021d2f1434c0"", ""99c03e7258281ef8dbbc2e492faa021d2f1434c0"", ""99c03e7258281ef8dbbc2e492faa021d2f1434c0""]","[""ComplexClass"", ""GodClass"", ""FeatureEnvy""]","[""97466b0eeb7ea8ea87f90c54e7598338"", ""f6e13883eac9613daecf0410be900853"", ""d39097c0b6e52fdc1ed9b41a6df510f5""]","[56, 60, 547]","[1434, 1506, 593]","[""CC = 14.0"", ""CLOC > 500, TCC < 0.4406466403853435"", ""CALLS_TO_org.apache.juli.logging.Log > 4""]","[""b4bbb4be66ca2aa33be81929068de389c47f702f"", ""b4bbb4be66ca2aa33be81929068de389c47f702f"", ""b4bbb4be66ca2aa33be81929068de389c47f702f"", ""b4bbb4be66ca2aa33be81929068de389c47f702f"", ""b4bbb4be66ca2aa33be81929068de389c47f702f"", ""b4bbb4be66ca2aa33be81929068de389c47f702f""]","[""LongMethod"", ""LongParameterList"", ""FeatureEnvy"", ""FeatureEnvy"", ""FeatureEnvy"", ""ComplexClass""]","[""eb7e3e7828f0d79b06c08a6a0c2b90c7"", ""32da4ee312d93b65144679c42d860028"", ""f3ceeb18dfdee868574f1864abf848a7"", ""d8a79e261d6121a0851dbee18d37fe26"", ""f1cab8e3813f3e9d4a72a47a7c7ecec1"", ""ba55680371bff4ba1ff04509c6ced1a7""]","[61, 61, 61, 247, 315, 167]","[130, 130, 130, 265, 346, 216]","[""{\""LocalityRatio\"": 0.0, \""MaxCallChain\"": 2.0, \""ParameterCount\"": 5.0, \""CyclomaticComplexity\"": 6.0, \""MethodLinesOfCode\"": 46.0}"", ""{\""LocalityRatio\"": 0.0, \""MaxCallChain\"": 2.0, \""ParameterCount\"": 5.0, \""CyclomaticComplexity\"": 6.0, \""MethodLinesOfCode\"": 46.0}"", ""{\""LocalityRatio\"": 0.0, \""MaxCallChain\"": 2.0, \""ParameterCount\"": 5.0, \""CyclomaticComplexity\"": 6.0, \""MethodLinesOfCode\"": 46.0}"", ""{\""LocalityRatio\"": 0.0, \""MaxCallChain\"": 1.0, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 2.0, \""MethodLinesOfCode\"": 10.0}"", ""{\""LocalityRatio\"": 0.0, \""MaxCallChain\"": 2.0, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 5.0, \""MethodLinesOfCode\"": 17.0}"", ""{\""IsAbstract\"": 0.0, \""ClassLinesOfCode\"": 167.0, \""OverrideRatio\"": null, \""TightClassCohesion\"": 0.0, \""PublicFieldCount\"": 0.0}""]"
Researcher 3,prestodb_presto,21534,"[""Move Attribute"", ""Move Attribute"", ""Extract Method"", ""Extract Method"", ""Inline Method"", ""Inline Method""]","[""com.facebook.presto.cli.TableNameCompleter"", ""com.facebook.presto.cli.QueryRunner"", ""com.facebook.presto.cli.QueryRunner.startQuery"", ""com.facebook.presto.cli.QueryRunner.startInternalQuery"", ""com.facebook.presto.cli.TableNameCompleter.complete"", ""com.facebook.presto.cli.TableNameCompleter.loadTableNames""]","[""eaa253e3acd5e89214ab70303fe7e6b0eec7e86d"", ""eaa253e3acd5e89214ab70303fe7e6b0eec7e86d"", ""eaa253e3acd5e89214ab70303fe7e6b0eec7e86d"", ""eaa253e3acd5e89214ab70303fe7e6b0eec7e86d"", ""eaa253e3acd5e89214ab70303fe7e6b0eec7e86d""]","[""IntensiveCoupling"", ""LongMethod"", ""FeatureEnvy"", ""SpaghettiCode"", ""ComplexClass""]","[""c32821c330e476aff5202930b25afb6f"", ""eb5ee0b397f8b452fa4309bb7698a2b7"", ""16472631ea891face307069ddd870fe4"", ""62d2f5c8f73f04e52fcfce2007ff5726"", ""43043e0c060de51d1e98626fffad5b9d""]","[423, 433, 433, 69, 70]","[465, 520, 520, 811, 800]","[""CINT = 9.0, CDISP = 0.3333333333333333, CC > 1.0"", ""MLOC > 6.853962658310414"", ""CALLS_TO_org.apache.tomcat.util.net.AbstractEndpoint > 13"", ""LONG_METHODS_CONNECTED = 3"", ""CC = 15.0""]","[""fca48c5c0df337611bf5aa81f47cc258850c99b0""]","[""FeatureEnvy""]","[""13cd8fd1d6e1c1390893ee78a4295774""]",[30],[65],"[""{\""LocalityRatio\"": 0.20689655172413793, \""ParameterCount\"": 3.0, \""CyclomaticComplexity\"": 6.0, \""MethodLinesOfCode\"": 28.0, \""MaxCallChain\"": 4.0}""]"
Researcher 3,prestodb_presto,21543,"[""Extract Method"", ""Extract Method"", ""Inline Method"", ""Inline Method"", ""Inline Method"", ""Inline Method""]","[""com.facebook.presto.execution.SqlTaskExecution"", ""com.facebook.presto.execution.SqlTaskExecution.addSources"", ""com.facebook.presto.execution.SqlTaskExecution.updateSources"", ""com.facebook.presto.execution.SqlTaskExecution.addSplit"", ""com.facebook.presto.execution.SqlTaskExecution.noMoreSplits""]","[""c74faab2b72f3d28e18672df1b245ca2d489a8d6"", ""c74faab2b72f3d28e18672df1b245ca2d489a8d6"", ""c74faab2b72f3d28e18672df1b245ca2d489a8d6""]","[""ComplexClass"", ""DispersedCoupling"", ""FeatureEnvy""]","[""f7c42172b4c2c5b3b53a856fc8311b83"", ""eee96590201347ce0d96ddf7b5573348"", ""738a3c71a045abfedbbc81b42fee380f""]","[27, 94, 90]","[161, 122, 130]","[""CC = 11.0"", ""CINT > 8.0, CDISP > 0.5, CC > 1.0"", ""CALLS_TO_ch.bind.philib.cache.lru.newimpl.StagedCacheEntry<K,V> > 4""]","[""fd84099f0158b4c7ceb9f3d2bd80a92836d37663"", ""fd84099f0158b4c7ceb9f3d2bd80a92836d37663""]","[""FeatureEnvy"", ""FeatureEnvy""]","[""9359c337a30a219ee29387c2518684d4"", ""fbc3986373d7ac6c575ea0a9553e2604""]","[301, 270]","[363, 292]","[""{\""LocalityRatio\"": 0.15789473684210525, \""MaxCallChain\"": 2.0, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 9.0, \""MethodLinesOfCode\"": 29.0}"", ""{\""MaxCallChain\"": 2.0, \""LocalityRatio\"": 0.2222222222222222, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 5.0, \""MethodLinesOfCode\"": 14.0}""]"
Researcher 3,prestodb_presto,21570,"[""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method""]","[""com.facebook.presto.spi.block.VariableWidthBlockBuilder"", ""com.facebook.presto.spi.block.VariableWidthBlockBuilder.append"", ""com.facebook.presto.spi.block.VariableWidthBlockBuilder.entryAdded"", ""com.facebook.presto.spi.block.VariableWidthBlockBuilder.appendNull""]","[""c74faab2b72f3d28e18672df1b245ca2d489a8d6"", ""c74faab2b72f3d28e18672df1b245ca2d489a8d6"", ""c74faab2b72f3d28e18672df1b245ca2d489a8d6""]","[""ComplexClass"", ""DispersedCoupling"", ""FeatureEnvy""]","[""f7c42172b4c2c5b3b53a856fc8311b83"", ""eee96590201347ce0d96ddf7b5573348"", ""738a3c71a045abfedbbc81b42fee380f""]","[27, 94, 90]","[161, 122, 130]","[""CC = 11.0"", ""CINT > 8.0, CDISP > 0.5, CC > 1.0"", ""CALLS_TO_ch.bind.philib.cache.lru.newimpl.StagedCacheEntry<K,V> > 4""]","[""a9ec889a381067ba84df344ea9a2ee639acc3b59""]","[""FeatureEnvy""]","[""7616143be50818a5d6190200d2774f93""]",[183],[189],"[""{\""MaxCallChain\"": 1.0, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 2.0, \""MethodLinesOfCode\"": 4.0, \""LocalityRatio\"": 0.0}""]"
Researcher 3,prestodb_presto,21571,"[""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method""]","[""com.facebook.presto.operator.TestExchangeOperator.testFinish"", ""com.facebook.presto.operator.TestExchangeOperator"", ""com.facebook.presto.operator.TestExchangeOperator.newRemoteSplit"", ""com.facebook.presto.operator.TestExchangeOperator.testSimple"", ""com.facebook.presto.operator.TestExchangeOperator.testWaitForNoMoreSplits"", ""com.facebook.presto.operator.TestExchangeOperator.testWaitForClose""]","[""31d625e7f02c59778dbf702abb366ddf6fda14b2"", ""31d625e7f02c59778dbf702abb366ddf6fda14b2"", ""31d625e7f02c59778dbf702abb366ddf6fda14b2""]","[""ClassDataShouldBePrivate"", ""FeatureEnvy"", ""FeatureEnvy""]","[""5e17a93cc482175c5e49910f49c9eee7"", ""6efd8d1b46082deee92a3801cac5bd8a"", ""e07e2ce7f1c877e241dea60e29676c7e""]","[32, 321, 304]","[599, 330, 319]","[""{\""IsAbstract\"": 0.0, \""ClassLinesOfCode\"": 306.0, \""OverrideRatio\"": null, \""PublicFieldCount\"": 1.0, \""TightClassCohesion\"": 0.07654127481713689}"", ""{\""MaxCallChain\"": 1.0, \""ParameterCount\"": 0.0, \""CyclomaticComplexity\"": 2.0, \""MethodLinesOfCode\"": 4.0, \""LocalityRatio\"": 0.0}"", ""{\""MaxCallChain\"": 1.0, \""ParameterCount\"": 0.0, \""CyclomaticComplexity\"": 2.0, \""MethodLinesOfCode\"": 4.0, \""LocalityRatio\"": 0.0}""]","[""d56e491885b9f2ac1a841084d0f05d74a7b2990e""]","[""FeatureEnvy""]","[""560f39234d8cdc4770e4091a0cf20b1a""]",[152],[155],"[""{\""MethodLinesOfCode\"": 2.0, \""LocalityRatio\"": 0.0, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 1.0, \""MaxCallChain\"": 1.0}""]"
Researcher 3,prestodb_presto,21588,"[""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method"", ""Extract Method""]","[""com.facebook.presto.metadata.HandleResolver"", ""com.facebook.presto.metadata.HandleResolver.getSplitClass"", ""com.facebook.presto.metadata.HandleResolver.resolverFor"", ""com.facebook.presto.metadata.HandleResolver.getTableHandleClass"", ""com.facebook.presto.metadata.HandleResolver.getIndexHandleClass"", ""com.facebook.presto.metadata.HandleResolver.getColumnHandleClass""]","[""d71c355b885c06ea0421a0d30fa2e6df0de3edaf"", ""d71c355b885c06ea0421a0d30fa2e6df0de3edaf"", ""d71c355b885c06ea0421a0d30fa2e6df0de3edaf""]","[""FeatureEnvy"", ""FeatureEnvy"", ""FeatureEnvy""]","[""10e306299afdee6f46dda2edcef0f568"", ""a2c9fdbd3a7eed6a741501b71ed6447e"", ""336c7fa2e64f6fff41d8477a1470baa5""]","[48, 62, 77]","[60, 75, 91]","[""{\""LocalityRatio\"": 0.0, \""ParameterCount\"": 2.0, \""CyclomaticComplexity\"": 5.0, \""MethodLinesOfCode\"": 12.0, \""MaxCallChain\"": 1.0}"", ""{\""LocalityRatio\"": 0.0, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 2.0, \""MethodLinesOfCode\"": 6.0, \""MaxCallChain\"": 1.0}"", ""{\""LocalityRatio\"": 0.0, \""ParameterCount\"": 2.0, \""CyclomaticComplexity\"": 2.0, \""MethodLinesOfCode\"": 6.0, \""MaxCallChain\"": 1.0}""]","[""a1c516de0fe6a7a36dd6398cfb8a4cf4a0828050""]","[""FeatureEnvy""]","[""0cb77e62f14507d7e6ac27bbcf6dc238""]",[112],[117],"[""{\""MethodLinesOfCode\"": 4.0, \""MaxCallChain\"": 1.0, \""ParameterCount\"": 1.0, \""CyclomaticComplexity\"": 1.0, \""LocalityRatio\"": 0.0}""]"
