Group,# Refactorings
"[EXTRACT_METHOD, INLINE_METHOD, REFACT_VARIABLE, RENAME]",5
"[EXTRACT_METHOD, REFACT_VARIABLE]",14
"[EXTRACT_METHOD, RENAME]",17
"[EXTRACT_METHOD, REFACT_VARIABLE, RENAME]",22
"[EXTRACT_CLASS, MOVE_METHOD]",3
"[EXTRACT_CLASS, EXTRACT_METHOD, MOVE_METHOD, REFACT_VARIABLE, RENAME]",2
"[EXTRACT_CLASS, EXTRACT_METHOD, MOVE_CLASS, MOVE_METHOD]",1
"[MOVE_CLASS, MOVE_METHOD, REFACT_VARIABLE, RENAME]",3
"[MOVE_METHOD, REFACT_VARIABLE, RENAME]",6
"[EXTRACT_METHOD, MOVE_METHOD, RENAME]",1
"[PULL_UP, REFACT_VARIABLE, RENAME]",3
"[EXTRACT_CLASS, MOVE_METHOD, PUSH_DOWN, REFACT_VARIABLE, RENAME]",1
"[EXTRACT_METHOD, MOVE_METHOD, PULL_UP, REFACT_VARIABLE, RENAME]",2
"[EXTRACT_METHOD, MOVE_CLASS, REFACT_VARIABLE, RENAME]",1
"[EXTRACT_SUPERCLASS, PULL_UP]",1
"[PULL_UP, REFACT_VARIABLE]",2
"[EXTRACT_METHOD, MOVE_CLASS, REFACT_VARIABLE]",2
"[EXTRACT_CLASS, MOVE_METHOD, REFACT_VARIABLE]",2
"[MOVE_CLASS, MOVE_METHOD]",2
"[MOVE_CLASS, MOVE_METHOD, REFACT_VARIABLE]",2
"[EXTRACT_METHOD, EXTRACT_SUPERCLASS, MOVE_CLASS, PULL_UP, REFACT_VARIABLE, RENAME]",1
"[MOVE_METHOD, RENAME]",3
"[MOVE_METHOD, REFACT_VARIABLE]",1
"[EXTRACT_CLASS, MOVE_METHOD, REFACT_VARIABLE, RENAME]",3
"[EXTRACT_METHOD, INLINE_METHOD, PUSH_DOWN, REFACT_VARIABLE, RENAME]",1
"[PULL_UP, PUSH_DOWN]",1
"[EXTRACT_CLASS, EXTRACT_METHOD, MOVE_METHOD]",1
"[EXTRACT_CLASS, EXTRACT_METHOD, INLINE_METHOD, MOVE_METHOD, REFACT_VARIABLE, RENAME]",1
"[EXTRACT_CLASS, MOVE_METHOD, PUSH_DOWN, RENAME]",1
"[EXTRACT_METHOD, INLINE_METHOD, MOVE_METHOD, REFACT_VARIABLE, RENAME]",1
"[EXTRACT_CLASS, MOVE_CLASS, MOVE_METHOD]",1
"[EXTRACT_METHOD, MOVE_METHOD]",2
"[EXTRACT_CLASS, MOVE_CLASS, MOVE_METHOD, REFACT_VARIABLE]",1
"[MOVE_CLASS, MOVE_METHOD, PUSH_DOWN]",1
"[EXTRACT_CLASS, MOVE_CLASS, MOVE_METHOD, RENAME]",1
[PULL_UP],1
[EXTRACT_METHOD],11
"[MOVE_CLASS, PULL_UP]",1
"[EXTRACT_CLASS, MOVE_CLASS, MOVE_METHOD, PUSH_DOWN]",1
"[EXTRACT_METHOD, EXTRACT_SUPERCLASS, PULL_UP]",1
"[EXTRACT_METHOD, MOVE_CLASS]",1
"[EXTRACT_CLASS, MOVE_METHOD, PUSH_DOWN, REFACT_VARIABLE]",1
"[MOVE_CLASS, MOVE_METHOD, PUSH_DOWN, REFACT_VARIABLE]",1
"[EXTRACT_CLASS, EXTRACT_METHOD, REFACT_VARIABLE, RENAME]",1
[MOVE_METHOD],3
"[EXTRACT_METHOD, PULL_UP, REFACT_VARIABLE]",1
