Group,# Composites
"[EXTRACT_METHOD, RENAME]",1
"[EXTRACT_CLASS, MOVE_METHOD, REFACT_VARIABLE, RENAME]",1
"[EXTRACT_METHOD, INLINE_METHOD, MOVE_METHOD, REFACT_VARIABLE, RENAME]",1
"[EXTRACT_METHOD, MOVE_CLASS, REFACT_VARIABLE]",2
"[EXTRACT_CLASS, MOVE_CLASS, MOVE_METHOD, REFACT_VARIABLE]",1
"[EXTRACT_METHOD, MOVE_METHOD]",2
"[EXTRACT_CLASS, MOVE_METHOD, REFACT_VARIABLE]",1
"[MOVE_CLASS, MOVE_METHOD, REFACT_VARIABLE]",1
"[MOVE_CLASS, MOVE_METHOD]",2
"[EXTRACT_CLASS, MOVE_CLASS, MOVE_METHOD, RENAME]",1
"[EXTRACT_METHOD, REFACT_VARIABLE, RENAME]",3
[EXTRACT_METHOD],2
"[MOVE_CLASS, MOVE_METHOD, PUSH_DOWN, REFACT_VARIABLE]",1
"[EXTRACT_CLASS, EXTRACT_METHOD, MOVE_METHOD, REFACT_VARIABLE, RENAME]",1
"[EXTRACT_METHOD, REFACT_VARIABLE]",3
"[EXTRACT_CLASS, MOVE_CLASS, MOVE_METHOD]",1
"[EXTRACT_METHOD, INLINE_METHOD, REFACT_VARIABLE, RENAME]",1
"[MOVE_METHOD, REFACT_VARIABLE, RENAME]",1
"[MOVE_CLASS, MOVE_METHOD, REFACT_VARIABLE, RENAME]",2
"[EXTRACT_CLASS, MOVE_METHOD, PUSH_DOWN, REFACT_VARIABLE, RENAME]",1
"[EXTRACT_CLASS, EXTRACT_METHOD, MOVE_CLASS, MOVE_METHOD]",1
"[EXTRACT_CLASS, MOVE_CLASS, MOVE_METHOD, PUSH_DOWN]",1
"[MOVE_CLASS, MOVE_METHOD, PUSH_DOWN]",1
